SITE|STONE|INSCRIPTIO|READING|BIB_REF|PAGES|VALUE
CLMAC|169|1|1|Macalister/1949|61|list
CLMAC|169|1|1|Petrie/1872|30, Plate XX, Fig.50|minor
CLMAC|170|1|1|Macalister/1909|44|minor
CLMAC|170|1|1|Macalister/1949|61|list
CLMAC|170|1|1|Petrie/1872|33, Plate XXIII, Fig. 58|minor
CLMAC|171|1|1|Macalister/1909|44|list
CLMAC|171|1|1|Macalister/1949|61|list
CLMAC|171|1|1|Petrie/1872|33, Plate XXIV, Fig. 60|minor
CLMAC|172|1|1|Macalister/1909|44|list
CLMAC|172|1|1|Macalister/1949|61|list
CLMAC|172|1|1|Petrie/1872|35, Plate XXVI, Fig. 64|
CLMAC|173|1|1|Macalister/1909|44|list
CLMAC|173|1|1|Macalister/1949|61|list
CLMAC|173|1|1|Petrie/1872|35,Plate XXVI, Fig.65|minor
CLMAC|174|1|1|Macalister/1909|44|list
CLMAC|174|1|1|Macalister/1949|61|list
CLMAC|174|1|1|Petrie/1872|36, Plate XXCVIII, Fig. 70|minor
CLMAC|175|1|1|Macalister/1909|44|list
CLMAC|175|1|1|Macalister/1949|61|list
CLMAC|175|1|1|Petrie/1872|36,Plate XXVIII|minor
CLMAC|176|1|1|Macalister/1909|44|read
CLMAC|176|1|1|Macalister/1949|61|read
CLMAC|176|1|1|Petrie/1872|36|read
CLMAC|177|1|1|Macalister/1909|44|read
CLMAC|177|1|1|Macalister/1949|61|read
CLMAC|177|1|1|Petrie/1872|37|read
CLMAC|178|1|1|Macalister/1909|44|read
CLMAC|178|1|1|Macalister/1949|61|read
CLMAC|178|1|1|Petrie/1872|37|read
CLMAC|179|1|1|Macalister/1909|45|read
CLMAC|179|1|1|Macalister/1949|61|read
CLMAC|179|1|1|Petrie/1872|39|read
CLMAC|180|1|1|Macalister/1909|45|read
CLMAC|180|1|1|Macalister/1949|61|read
CLMAC|180|1|1|Petrie/1872|39|read
CLMAC|181|1|1|Macalister/1909|45|read
CLMAC|181|1|1|Macalister/1949|62|read
CLMAC|181|1|1|Petrie/1872|42|read
CLMAC|182|1|1|Macalister/1909|45|read
CLMAC|182|1|1|Macalister/1949|62|read
CLMAC|182|1|1|Petrie/1872|47, Plate XXXVII|read
CLMAC|183|1|1|Macalister/1909|45|read
CLMAC|183|1|1|Macalister/1949|62|read
CLMAC|183|1|1|Petrie/1872|48--49, Plate XXXVIII|read
CLMAC|183|2|1|Macalister/1909|45|read
CLMAC|183|2|1|Macalister/1949|62|read
CLMAC|183|2|1|Petrie/1872|48-49, Plate XXXVIII|read
CLMAC|184|1|1|Macalister/1909|46|read
CLMAC|184|1|1|Macalister/1949|62|read
CLMAC|184|1|1|Petrie/1872|53|read
CLMAC|185|1|1|Petrie/1872|54|read
CLMAC|185|1|2|Macalister/1909|46|read
CLMAC|185|1|3|Macalister/1949|63|read
CLMAC|185|2|1|Macalister/1909|46|read
CLMAC|185|2|1|Macalister/1949|62|read
CLMAC|185|2|1|Petrie/1872|54|read
CLMAC|186|1|1|Macalister/1909|46|read
CLMAC|186|1|1|Macalister/1949|63|read
CLMAC|186|1|1|Petrie/1872|55|read
CLMAC|187|1|1|Macalister/1909|46|read
CLMAC|187|1|1|Macalister/1949|63|read
CLMAC|187|1|1|Petrie/1872|55|read
CLMAC|188|1|1|Macalister/1909|46|read
CLMAC|188|1|1|Macalister/1949|63|read
CLMAC|188|1|1|Petrie/1872|56|read
CLMAC|189|1|1|Macalister/1909|46|read
CLMAC|189|1|1|Petrie/1872|56|read
CLMAC|189|1|2|Macalister/1949|63|read
CLMAC|190|1|1|Macalister/1909|47|read
CLMAC|190|1|1|Macalister/1949|63|read
CLMAC|190|1|1|Petrie/1872|59|read
CLMAC|190|1|2|Macalister/1909|47|read
CLMAC|190|1|2|Macalister/1949|63|read
CLMAC|191|1|1|Macalister/1909|47|read
CLMAC|191|1|1|Macalister/1949|63|read
CLMAC|191|1|1|Petrie/1872|62|read
CLMAC|192|1|1|Macalister/1909|47|read
CLMAC|192|1|1|Macalister/1949|63|read
CLMAC|192|1|1|Petrie/1872|63|read
CLMAC|193|1|1|Macalister/1909|47|read
CLMAC|193|1|1|Macalister/1949|63|read
CLMAC|193|1|1|Petrie/1872|64|read
CLMAC|194|1|1|Macalister/1909|47|read
CLMAC|194|1|1|Macalister/1949|63|read
CLMAC|194|1|1|Petrie/1872|65|read
CLMAC|195|1|1|Macalister/1909|47|read
CLMAC|195|1|1|Macalister/1949|63|read
CLMAC|195|1|1|Petrie/1872|69|read
CLMAC|196|1|1|Macalister/1909|47|list
CLMAC|196|1|1|Macalister/1949|64|list
CLMAC|196|1|1|Petrie/1872|69|read
CLMAC|196|1|2|Macalister/1909|47|read
CLMAC|196|1|3|Macalister/1949|64|read
CLMAC|197|1|1|Petrie/1872|70, Plate LXVI, Fig.157|read
CLMAC|197|1|2|Macalister/1949|64|read
CLMAC|198|1|1|Macalister/1909|48|read
CLMAC|198|1|1|Macalister/1949|64|read
CLMAC|198|1|1|Petrie/1872|71, Plate LXVIII, Fig. 161|read
CLMAC|199|1|1|Macalister/1909|48|read
CLMAC|199|1|1|Macalister/1949|64|read
CLMAC|199|1|1|Petrie/1872|71, Plate LXVIII, Fig. 163|read
CLMAC|200|1|1|Petrie/1872|72, Fig. 165|read
CLMAC|200|1|2|Petrie/1872|Plate LXIX, Fig. 165|other
CLMAC|200|1|3|Macalister/1909|48|list
CLMAC|200|1|4|Macalister/1949|64|list
CLMAC|201|1|1|Macalister/1909|48|list
CLMAC|201|1|1|Macalister/1949|64|list
CLMAC|201|1|1|Petrie/1872|73, Plate LXX, Fig. 168|read
CLMAC|201|1|2|Macalister/1949|64|read
CLMAC|202|1|1|Petrie/1872|73, Plate LXXI, Fig. 170|read
CLMAC|202|1|2|Macalister/1909|48|read
CLMAC|202|1|2|Macalister/1949|64|read
CLMAC|203|1|1|Petrie/1872|74, Plate LXXII, Fig. 175|read
CLMAC|203|1|2|Macalister/1909|48|read
CLMAC|203|1|3|Macalister/1949|64|read
CLMAC|204|1|1|Macalister/1909|48|read
CLMAC|204|1|1|Macalister/1949|64|read
CLMAC|204|1|1|Petrie/1872|74, Plate LXXII, Fig. 174|read
CLMAC|205|1|1|Macalister/1949|65|read
CLMAC|205|1|1|Petrie/1872|75, Plate LXXIII, Fig. 176|read
CLMAC|205|1|2|Macalister/1949|65|read
CLMAC|206|1|1|Macalister/1909|49|read
CLMAC|206|1|1|Macalister/1949|65|read
CLMAC|207|1|1|Macalister/1909|49|read
CLMAC|207|1|1|Macalister/1949|65|read
CLMAC|207|1|1|Petrie/1872|51, Plate XLI, Fig. 104|read
CLMAC|208|1|1|Macalister/1909|49|read
CLMAC|208|1|1|Macalister/1949|65|read
CLMAC|209|1|1|Macalister/1949|66, Plate XXXIV|read
CLMAC|210|1|1|Macalister/1949|66|read
CLMAC|212|1|1|Macalister/1949|66, Plate XXXII|read
CLMAC|213|1|1|Macalister/1949|66, Plate XXXII|read
CLMAC|214|1|1|Macalister/1949|66|read
CLMAC|215|1|1|Macalister/1949|66, Plate XXV|read
CLMAC|216|1|1|Macalister/1949|66, Plate XXXIII|read
CLMAC|217|1|1|Macalister/1949|66, Plate XXVIII|read
CLMAC|218|1|1|Macalister/1949|67, Plate XXXII|read
CLMAC|219|1|1|Macalister/1949|67, Plate XXXIII|read
CLMAC|220|1|1|Macalister/1949|67, Plate XXVIII|
CLMAC|221|1|1|Macalister/1949|67|read
CLMAC|222|1|1|Macalister/1949|67|read
CLMAC|223|1|1|Macalister/1949|67|read
CLMAC|224|1|1|Macalister/1949|67, Plate XXIX|read
CLMAC|225|1|1|Macalister/1949|67|read
CLMAC|226|1|1|Macalister/1949|67, Plate XXXIV|read
CLMAC|227|1|1|Macalister/1949|67|read
CLMAC|228|1|1|Macalister/1949|68|read
CLMAC|229|1|1|Macalister/1949|68|read
CLMAC|229|1|2|Macalister/1909|45|read
CLMAC|229|1|2|Petrie/1872|50|read
CLMAC|230|1|1|Macalister/1909|49|read
CLMAC|230|1|1|Petrie/1872|75|read
CLMAC|230|1|2|Macalister/1949|68|read
CLMAC|231|1|1|Macalister/1949|68|read
CLMAC|232|1|1|Macalister/1949|68|read
CLMAC|233|1|1|Macalister/1949|68|read
CLMAC|234|1|1|Macalister/1949|68|read
CLMAC|235|1|1|Macalister/1949|69|read
CLMAC|236|1|1|Macalister/1949|69|read
CLMAC|237|1|1|Macalister/1949|69|read
CLMAC|238|1|1|Macalister/1949|69|read
CLMAC|239|1|1|Macalister/1949|69|read
CLMAC|240|1|1|Macalister/1949|69|read
CLMAC|241|1|1|Macalister/1949|69|read
CLMAC|242|1|1|Macalister/1949|69|read
CLMAC|243|1|1|Macalister/1949|69|read
CLMAC|244|1|1|Macalister/1949|69|read
CLMAC|245|1|1|Macalister/1949|69|read
CLMAC|246|1|1|Macalister/1949|69|read
CLMAC|247|1|1|Macalister/1949|70|read
CLMAC|248|1|1|Macalister/1949|70|read
CLMAC|249|1|1|Lionard/1961|157|read
CLMAC|249|1|1|Macalister/1949|70|read
CLMAC|250|1|1|Macalister/1949|70|read
CLMAC|252|1|1|Macalister/1949|71|list
CLMAC|253|1|1|Macalister/1949|198, Plate LXVII|list
CLMAC|254|1|1|Macalister/1949|198--199, Plate LXVI|list
CLMAC|255|1|1|Macalister/1949|199, Plate LXVI|list
CLMAC|256|1|1|Macalister/1949|199, Plate LXVI|list
CLMAC|257|1|1|Macalister/1949|199, Plate LXVI|list
CLMAC|258|1|1|Macalister/1949|199, Plate LXVI|list
CLMAC|259|1|1|Macalister/1949|199, Plate LXVI|list
CLMAC|260|1|1|Macalister/1949|199, Plate LXVII|list
CLMAC|261|1|1|Macalister/1949|199, Plate LXVII|list
CLMAC|262|1|1|Manning/Moore/1991|10--11|minor
CLMAC|263|1|1|King/1992|23|minor
CLMOR|1|1|1|Macalister/1945|18|read
CLMOR|1|1|1|Ziegler/1994|254|read
CLMOR|2|1|1|Harbison/1991|185|minor
CLONC|1|1|1|Macalister/1949|116, pl. XLVI|read
CLONM|1|1|1|Macalister/1949|65-66|read
CLOOM|1|1|1|Gippert/Web|Ogham 2|sdisc
CLOOM|1|1|1|Macalister/1945|3--4|cdisc
CLOOM|1|1|2|Gippert/Web|Ogham 2|sdisc
CLOON|1|1|1|Macalister/1949|100|read
CLYDI|1|1|1|Macalister/1945|411 & fig.|read
CLYDI|1|1|2|Nash-Williams/1950|184|read
CLYDI|1|1|3|Rhys/1873|5|read
CLYDI|1|2|1|Macalister/1945|411 & fig.|read
CLYDI|1|2|2|Nash-Williams/1950|184|read
CLYDI|1|2|3|Rhys/1873|5|read
CLYDI|1|2|4|Huebner/1876|39|read
CLYDI|1|2|4|Westwood/1860|226|read
CLYDI|1|2|4|Westwood/1879|123--124|read
CLYDI|1|2|5|Westwood/1879|123|read
CLYDI|2|1|1|Macalister/1945|410|read
CLYDI|2|1|2|Macalister/1945|186|read
CLYDI|2|1|3|Rhys/1873|5|read
CLYDI|2|1|4|Westwood/1860|223--224|read
CLYDI|2|1|4|Westwood/1879|122|read
CLYDI|3|1|1|Macalister/1945|412 and fig|read
CLYDI|3|1|2|Nash-Williams/1950|186|read
CLYDI|3|1|3|RomillyAllen/1896|299|read
CLYDI|3|1|4|RCHAMW/1925|5|read
CLYDI|3|2|1|Macalister/1945|411 and fig|read
CLYDI|3|2|2|Nash-Williams/1950|186 and fig 201|read
CLYDI|3|2|3|Macalister/1922a|29|read
CLYDI|3|2|4|Rhys/1873|299|read
CLYDI|3|2|5|Rhys/1873|5|read
CMBRN|1|1|1|Macalister/1949|177|read
CMBRN|1|1|2|Okasha/1993|83|read
CNWYL|1|1|2|Anon/1893|91-92|read
CNWYL|1|1|2|Anon/1919a|24b|read
CNWYL|1|1|2|Macalister/1921|21|read
CNWYL|1|1|2|Macalister/1945|344-345|read
CNWYL|1|1|2|Nash-Williams/1938|40-41|read
CNWYL|1|1|2|Nash-Williams/1950|107-109|read
CNWYL|1|1|2|Thomas/1994|104|read
CNWYL|1|1|2|Westwood/1856|249-250|read
CNWYL|2|1|1|Macalister/1945|345--346|cdisc
CNWYL|2|1|2|Anon/1919a|no. VI|read
CNWYL|2|1|2|Macalister/1945|345--346|read
CNWYL|2|1|2|Nash-Williams/1950|109|read
CNWYL|2|1|2|Rhys/1873|7|read
CNWYL|2|1|2|Thomas/1994|95|read
CNWYL|3|1|1|Westwood/1856b|321|read
CNWYL|3|1|2|Huebner/1876|30|read
CNWYL|3|1|3|Rhys/1876|244|read
CNWYL|3|1|4|Macalister/1945|343--344|read
CNWYL|3|1|5|Jackson/1953|619|read
CNWYL|3|1|5|Nash-Williams/1950|109|read
CNWYL|3|1|5|Thomas/1994|300, note 4|read
COBOY|1|1|1|Macalister/1945|244|read
COBOY|1|1|1|Ziegler/1994|273|read
COHIL|1|1|1|Macalister/1945|222--223|read
COHIL|1|1|1|McManus/1991|94|read
COHIL|1|1|1|Ziegler/1994|271|read
COLIN|1|1|1|Macalister/1945|22|cdisc
COLIN|1|1|1|McManus/1991|61, 93|read
COLIN|1|2|1|Macalister/1945|22--24|cdisc
COLIN|1|2|2|McManus/1991|61|read
COLIN|2|1|1|Macalister/1897|78--79|read
COLIN|2|1|1|Macalister/1945|24--25|read
COLIN|2|1|1|McManus/1991|94|read
COLIN|2|1|1|Ziegler/1994|254|read
COLIN|3|1|1|Macalister/1945|25--26|read
COLIN|3|1|1|Ziegler/1994|254|read
COLIN|3|1|2|Macalister/1897|79|read
COLIN|4|1|1|Macalister/1945|26--27|read
COLIN|4|1|1|Ziegler/1994|254|read
COLIN|5|1|1|Macalister/1945|28--29|read
COLIN|6|1|1|Macalister/1945|29--30|cdisc
COLIN|7|1|1|Macalister/1945|30|read
COOGH|1|1|1|Macalister/1945|104--105|read
COOGH|1|1|1|McManus/1991|95|read
COOGH|1|1|2|Gippert/Web|104|read
COOGH|2|1|1|Macalister/1945|105--107|read
COOGH|2|1|1|Zeigler/1994|260|read
COOLE|1|1|1|Macalister/1945|224--225|read
COOLE|1|1|1|OSullivan/etal/1996|275|read
COOLE|1|1|1|Ziegler/1994|271|read
COOLE|2|1|1|Macalister/1945|226--227|read
COOLE|2|1|1|Ziegler/1994|271|read
COOLE|2|1|2|OSullivan/etal/1996|241|read
COOLH|1|1|1|Macalister/1945|128|read
COOLM|1|1|1|Gippert/Web|197|read
COOLM|1|1|1|Macalister/1945|193|read
COOLM|1|1|1|McManus/1991|65|read
COOLM|2|1|1|Gippert/Web|198|read
COOLM|2|1|1|Macalister/1945|193|read
COOLM|2|1|1|McManus/1991|65|read
COOLM|3|1|1|Gippert/Web|199|read
COOLM|3|1|1|Macalister/1945|193|read
COOLM|3|1|1|McManus/1991|65|read
COOLM|3|1|1|Ziegler/1994|158|read
COOLM|4|1|1|Gippert/Web|200|read
COOLM|4|1|1|Macalister/1945|193--194|read
COOLM|4|1|1|McManus/1991|65|read
COOLM|5|1|1|Macalister/1945|195--196|read
COOLM|6|1|1|Macalister/1945|196|read
COOLM|6|1|2|McManus/1991|66|read
COOLM|6|1|3|Gippert/Web|202|read
COOLM|7|1|1|Gippert/Web|203|read
COOLM|7|1|1|Macalister/1945|197|read
COOLM|7|1|1|McManus/1991|65|read
CORRO|1|1|1|Macalister/1945|9--10|cdisc
CORRO|1|1|2|Gippert/Web|Ogham 7|read
CORRO|1|1|3|Ziegler/1994|253|read
CORRO|1|2|2|Gippert/Web|1978|cdisc
COTTS|1|1|1|Macalister/1945|49|read
COTTS|1|1|1|McManus/1991|84, 91, 93|read
COTTS|1|1|1|Ziegler/1994|187, 256|read
COYCH|1|1|1|RCHAMW/1976|60|read
COYCH|1|1|2|Nash-Williams/1950|130|read
COYCH|1|1|3|Anon/1928|388--389|read
COYCH|1|1|3|Macalister/1949|155, and fig.|read
COYCH|1|1|4|Rhys/1899|164|read
COYCH|2|1|1|Westwood/1879|33, & pl. XXIII|read
COYCH|2|1|2|Nash-Williams/1950|131|read
COYCH|2|1|3|Macalister/1949|154|read
COYCH|2|1|4|Rhys/1899|164|read
CRAG|1|1|1|Macalister/1945|246|read
CRAG|1|1|1|Ziegler/1994|273|read
CRAI|1|1|1|Macalister/1945|318|read
CRAI|1|1|2|Nash-Williams/1950|69|read
CRAI|1|2|1|Macalister/1945|318|read
CRAI|1|2|2|Nash-Williams/1950|69|cdisc
CRCKH|1|1|1|Macalister/1945|315--6|sdisc
CRCKH|1|1|2|Nash-Williams/1950|69|read
CRCKH|1|1|3|Rolt-Brash/1871|160|cdisc
CRCKH|1|1|4|McManus/1991|67|read
CRCKH|1|2|1|Macalister/1945|314--315|cdisc
CRCKH|1|2|2|Nash-Williams/1950|69|read
CRCKH|1|2|3|Westwood/1847|73|cdisc
CRCKH|1|2|3|Westwood/1876|73--4|cdisc
CRCOM|1|1|1|Macalister/1945|297|read
CRCOM|1|1|1|Ziegler/1994|278|minor
CRCOM|2|1|1|Macalister/1945|297--298|read
CRCOM|2|1|1|Ziegler/1994|278|minor
CREHS|1|1|1|Macalister/1945|293|read
CREHS|1|1|1|Ziegler/1994|278|cdisc
CRGHH|1|1|1|Macalister/1945|294|minor
CRGUL|1|1|1|Macalister/1945|126--127|read
CRGUL|1|1|1|Ziegler/1994|262|read
CRNLO|1|1|1|Macalister/1945|129|read
CRNLO|1|1|1|Ziegler/1994|251|read
CRSER|1|1|1|Macalister/1945|124|read
CSKEE|1|1|1|Macalister/1945|46--47|read
CSKEE|1|1|2|McManus/1991|66|read
CSKEE|1|1|3|MacNeil/1907|46|read
CSKEE|1|1|4|Gippert/Web|41|read
CSMO|1|1|1|Macalister/1945|51--52|read
CSMO|1|1|2|Gippert/Web|Ogham 47|sdisc
CSMO|1|1|3|Macalister/1897|76|minor
CSTGR|1|1|1|Brindley/Kilfeather/1993|12|minor
CSTLD|1|1|1|Okasha/1993|92--94|read
CSTLD|1|1|2|Macalister/1945|465--466|read
CSTLD|1|1|3|Thomas/1994|279--280|sdisc
CUBRT|1|1|1|Macalister/1945|455|read
CUBRT|1|1|2|Okasha/1993|97--98|read
CUBRT|1|1|3|Thomas/1994|282--283|read
CURMO|1|1|1|Macalister/1945|198--199|read
CURMO|1|1|1|Ziegler/1994|269|read
CURMO|1|1|2|McManus/1991|67|read
DEELI|1|1|1|Macalister/1945|107--108|read
DEELI|1|1|1|Ziegler/1994|260|read
DEELI|1|1|2|McManus/1991|95|read
DEELI|1|1|3|Gippert/Web|106|read
DEGAS|1|1|1|Macalister/1945|213|read
DEGAS|1|1|1|McManus/1991|96|read
DELGA|1|1|1|Macalister/1949|87, Plate VII|cdisc
DELGA|1|1|2|Petrie/1878|61--62, Plate XXXV|read
DENAN|1|1|1|Macalister/1945|214--215|read
DENAN|1|1|1|Ziegler/1994|270|read
DENAN|1|1|2|OSullivan/etal/1996|242|read
DERIV|1|1|1|Macalister/1945|199--200|read
DERIV|1|1|1|OSullivan/etal/1996|242|read
DERIV|1|1|1|Ziegler/1994|269|read
DFYNG|1|1|1|Macalister/1945|317--318|cdisc
DFYNG|1|1|2|Nash-Williams/1950|69|list
DFYNG|1|2|1|Macalister/1945|317--318|cdisc
DINGL|1|1|1|Cuppage/etal/1986|255|read
DINGL|1|1|1|Macalister/1945|171--172|read
DINGL|1|1|1|McManus/1991|94|read
DINGL|1|1|1|Ziegler/1994|266|read
DKEAR|1|1|1|Macalister/1945|227|read
DKEAR|1|1|1|Ziegler/1994|271|read
DKEAR|1|1|2|OSullivan/etal/1996|276|read
DLEEK|1|1|1|Macalister/1949|33, Plate VIII|read
DNARD|1|1|1|Macalister/1945|52|read
DNARD|1|1|2|Gippert/Web|Ogham 48|sdisc
DNARD|1|1|3|Macalister/1897|76--77|minor
DNBUL|1|1|1|Macalister/1945|65--66|read
DNBUL|1|1|1|Ziegler/1994|256|read
DNMOR|1|1|1|Macalister/1945|30--31|read
DNMOR|1|1|1|Ziegler/1994|254|read
DNMOR|1|1|2|McManus/1991|66|read
DNMOR|1|1|3|McManus/1991|66|cdisc
DNWAY|1|1|1|McManus/1991|72--73|read
DNWAY|2|1|1|McManus/1991|72--73|read
DNWAY|3|1|1|McManus/1991|72--73|read
DOOGH|1|1|1|Macalister/1945|11|read
DRCOM|1|1|1|Macalister/1945|298--299|read
DRCOM|1|1|1|Ziegler/1994|278|list
DRLUS|1|1|1|Macalister/1945|215|read
DRLUS|1|1|1|McManus/1991|96|read
DRLUS|1|1|3|OSullivan/etal/1996|55|read
DROMR|1|1|1|Macalister/1945|262--263|read
DROMR|1|1|1|McManus/1991|94|read
DROMR|1|1|1|Ziegler/1994|274|read
DROMR|2|1|1|Macalister/1945|263--264|read
DROMR|2|1|1|Ziegler/1994|263--264|read
DROMR|3|1|1|Macalister/1945|265|read
DROMR|3|1|1|McManus/1991|65|read
DROMR|3|1|1|Ziegler/1994|274|read
DROUK|1|1|1|Macalister/1945|218--219|read
DROUK|1|1|1|Ziegler/1994|271|read
DROYN|1|1|1|Forsyth/1996|511|cdisc
DRUML|1|1|1|Macalister/1945|268--269|read
DRUML|1|1|1|Ziegler/1994|275|read
DRUML|2|1|1|Macalister/1945|269--270|read
DRUML|2|1|1|Ziegler/1994|275|read
DRUML|3|1|1|Macalister/1945|270--271|read
DRUML|3|1|1|Ziegler/1994|275|read
DRUML|4|1|1|Macalister/1945|271--272|read
DRUML|4|1|1|Ziegler/1994|275|read
DRUML|5|1|1|Macalister/1945|272--273|read
DRUML|5|1|1|Ziegler/1994|275|read
DRUML|6|1|1|Macalister/1945|273--274|read
DRUML|6|1|1|Ziegler/1994|275|read
DRUML|7|1|1|Macalister/1945|274|read
DRUML|7|1|1|Ziegler/1994|275|read
DRUML|8|1|1|Macalister/1945|275|read
DRUML|8|1|1|Ziegler/1994|276|read
DRUML|9|1|1|Macalister/1945|275--276|read
DRUML|9|1|1|Ziegler/1994|275--276|read
DRUML|10|1|1|Macalister/1945|276--277|read
DRUML|10|1|1|Ziegler/1994|233, 276|read
DRUML|10|2|1|Macalister/1945|276--277|read
DRUML|10|2|1|Ziegler/1994|276|read
DRUMM|1|1|1|Macalister/1945|16|read
DRUMM|1|1|1|Ziegler/1994|253|read
DRUMM|1|1|2|Gippert/Web|Ogham 11|read
DUNAD|1|1|1|Forsyth/1996|230--242|sdisc
DUNAL|1|1|1|Macalister/1945|304|read
DUNAL|1|1|1|Ziegler/1994|               278|list
DUNB|1|1|1|Macalister/1945|34--35|read
DUNB|1|1|2|McManus/1991|66|read
DUNB|2|1|1|Macalister/1897|8|read
DUNB|2|1|1|Macalister/1945|35|read
DUNB|2|1|2|McManus/1991|65|read
DUNER|1|1|1|Petrie/1878|69, Fig. 77a|read
DUNER|1|1|2|Macalister/1949|30|read
DUNER|2|1|1|Macalister/1949|30|read
DUNGM|1|1|1|Macalister/1945|301|read
DUNGM|1|1|1|Ziegler/1994|278|list
DUPLN|1|1|1|Forsyth/1996|253--257|read
DUPLN|1|2|1|Forsyth/1996|251|minor
DUROW|1|1|1|Harbison/1992|81|read
DUROW|1|1|2|Macalister/1949|40|read
DUROW|1|2|1|Macalister/1949|40|read
DUROW|1|2|2|Harbison/1992|82|read
DUROW|2|1|1|Macalister/1949|40--41|cdisc
DUROW|2|1|1|Petrie/1878|56|read
DUROW|3|1|1|Macalister/1945|41--42|cdisc
EGLWC|1|1|1|RomillyAllen/1889|96|read
EGLWC|1|1|2|Jones/1923|20|read
EGLWC|1|1|2|Macalister/1945|346|read
EGLWC|1|1|2|Nash-Williams/1950|109|read
EGLWC|1|1|2|Rhys/1889|225|read
EGLWC|1|1|2|Thomas/1994|75|read
EGLWC|1|2|1|Rhys/1889|226|read
EGLWC|1|2|2|Macalister/1921|22|read
EGLWC|1|2|2|Macalister/1945|346--347|read
EGLWC|1|2|2|Nash-Williams/1950|109|read
EGLWC|1|2|2|Thomas/1994|75|read
EGRMT|1|1|1|RomillyAllen/1889|306|read
EGRMT|1|1|2|Collier/1889|176|read
EGRMT|1|1|3|Jackson/1953|291|read
EGRMT|1|1|3|Macalister/1945|347|read
EGRMT|1|1|3|Nash-Williams/1950|111|read
EGRMT|1|1|3|Thomas/1994|302, note 42|read
EMLGE|1|1|1|Macalister/1945|172--173|read
EMLGE|1|1|1|Ziegler/1994|267|read
EMLGE|1|1|2|Cuppage/etal/1986|255|read
EMLGE|1|1|2|Gippert/Web|180|read
EMLGE|1|1|2|McManus/1991|66|read
EOGWL|1|1|1|Okasha/1993|102|read
EOGWL|1|1|2|Radford/1969|80|read
EOGWL|1|1|2|Thomas/1994|281|read
FARAN|1|1|1|Cuppage/etal/1986|354|minor
FARDL|1|1|1|Macalister/1945|469|read
FARDL|1|1|2|Okasha/1993|106--107|read
FARDL|1|1|3|Thomas/1994|267--268|read
FARDL|1|2|1|Macalister/1945|469|read
FARDL|1|2|2|Okasha/1993|106--107|read
FARDL|1|2|3|Thomas/1994|267--268|read
FARDL|1|3|1|Macalister/1945|469|read
FARDL|1|3|2|Okasha/1993|106--107|read
FARDL|1|3|3|Thomas/1994|267--268|read
FCHRW|1|1|1|Macalister/1949|153|read
FCHRW|1|1|2|Nash-Williams/1950|132|read
FCHRW|1|1|3|RCHAMW/1976|36|read
FCHRW|1|1|4|Lhwyd/1848|310|read
FCHRW|1|1|5|TS/1862|134|read
FCHRW|1|1|6|Rhys/1875|370|read
FESTG|1|1|1|Macalister/1945|390|list
FESTG|1|1|1|Nash-Williams/1950|167|other
FIDUP|1|1|1|Macalister/1945|35--36|read
FIDUP|1|1|1|Ziegler/1994|255|read
FIDUP|1|1|2|Gippert/Web|Ogham 31|read
FINNE|1|1|1|Macalister/1949|120|read
FKWOO|1|1|1|Macalister/1945|70--72|read
FKWOO|1|1|1|McManus/1991|93|read
FORTW|1|1|1|Macalister/1945|134--135|read
FORTW|1|1|1|McManus/1991|65|read
FORTW|1|1|1|Ziegler/1994|263|read
FOXCA|1|1|1|Macalister/1945|277--278|read
FOXCA|1|1|1|Ziegler/1994|276|read
FUERT|1|1|1|Macalister/1949|14--15, Plate IV|cdisc
FUERT|1|1|2|Petrie/1878|12|read
FUERT|2|1|1|Macalister/1949|15|read
FUERT|2|1|2|Petrie/1878|12|read
GALPR|1|1|1|Macalister/1949|72--73|read
GALPR|1|1|1|Petrie/1872|74, Plate LXXIII|read
GALPR|2|1|1|Macalister/1949|72--73|read
GALPR|3|1|1|Kendrick/1939|9--10|read
GALPR|3|1|2|Macalister/1949|73|read
GALPR|4|1|1|Macalister/1949|74|read
GALPR|5|1|1|Macalister/1949|74|read
GALPR|6|1|1|Macalister/1949|74|read
GALPR|7|1|1|Macalister/1949|74|read
GALPR|8|1|1|Macalister/1949|74, Plate XXXV|read
GALPR|9|1|1|Macalister/1949|75, Plate XXXV|read
GALPR|10|1|1|Macalister/1949|75|read
GALPR|11|1|1|Macalister/1949|75|read
GALPR|12|1|1|Macalister/1949|75|read
GALPR|13|1|1|Macalister/1949|75, Plate XXXVI|read
GALPR|14|1|1|Macalister/1949|75, Plate XLV|read
GALPR|15|1|1|Macalister/1949|76--77, Frontispiece|read
GAMIL|1|1|1|Macalister/1945|278|read
GAMIL|2|1|1|Macalister/1945|279|read
GAMIL|2|1|1|Ziegler/1994|276|read
GARES|1|1|1|Macalister/1945|83--84|read
GARES|1|1|1|Ziegler/1994|145--146, 144--145, 258|read
GARES|1|1|2|Gippert/Web|81|read
GEARS|1|1|1|McManus/1991|70--71|read
GEARS|1|1|1|OKelly/Kavanagh/1954|50--53|read
GEARS|1|1|2|OSullivan/etal/1996|232|read
GIGHA|1|1|1|Forsyth/1996|291--298|sdisc
GIGHA|2|1|1|Forsyth/1996|514--515|cdisc
GLEBE|1|1|1|Macalister/1945|129--130|read
GLEBE|1|1|1|McManus/1991|66|read
