SITE|STONE|BIB_REF|PAGES|ILLUSTRATI|PHOTO|MAP|DRAWING|VALUE
BALEE|1|Macalister/1945|142--144||no|no|yes|cdisc
BALGH|1|Macalister/1945|47--48||no|no|yes|cdisc
BALGH|1|Moore/1996|13||no|no|no|minor
BALIG|1|Cuppage/etal/1986|250--251||no|no|no|cdisc
BALIG|1|Macalister/1897|27--28||no|no|no|cdisc
BALIG|1|Macalister/1945|144--145||no|no|yes|cdisc
BALIG|2|Cuppage/etal/1986|251, Plates 12--13||yes|no|yes|cdisc
BALIG|2|Macalister/1897|28||no|no|no|cdisc
BALIG|2|Macalister/1945|145--146||no|no|yes|cdisc
BALIG|3|Cuppage/etal/1986|251||no|no|no|cdisc
BALIG|3|Macalister/1897|28--29||no|no|no|cdisc
BALIG|3|Macalister/1945|146--147||no|no|yes|cdisc
BALIG|4|Cuppage/etal/1986|251||no|no|no|cdisc
BALIG|4|Macalister/1897|29||no|no|no|minor
BALIG|4|Macalister/1945|147||no|no|no|cdisc
BALIG|5|Cuppage/etal/1986|251||no|no|no|list
BALIG|5|Macalister/1897|29--30||no|no|no|cdisc
BALIG|5|Macalister/1945|147--148||no|no|yes|cdisc
BALIG|6|Cuppage/etal/1986|149||no|no|yes|cdisc
BALIG|6|Macalister/1897|30--31||no|no|no|minor
BALIG|6|Macalister/1945|149||no|no|yes|cdisc
BALIG|7|Macalister/1945|149--150||no|no|yes|cdisc
BALIG|8|Cuppage/etal/1986|252||no|no|no|minor
BALIG|8|Macalister/1945|144, 150--151||no|no|yes|cdisc
BARDS|1|Anon/1848|363||no|no|no|other
BARDS|1|Huebner/1876|50||no|no|no|cdisc
BARDS|1|Macalister/1949|143--144||yes|no|no|cdisc
BARDS|1|Nash-Williams/1950|86--87, Plate XXXV||yes|no|yes|cdisc
BARDS|1|RCAHMW/1964|19, pl. 7||yes|no|no|cdisc
BARDS|1|Westwood/1876|181--182||no|no|yes|cdisc
BARHA|1|Gippert/Web|Ogham 103||yes|no|no|sdisc
BARHA|1|Macalister/1907|123--124||no|no|no|cdisc
BARHA|1|Macalister/1945|102--103||no|no|yes|cdisc
BARM1|1|Macalister/1945|392||no|no|yes|cdisc
BARM1|1|Nash-Williams/1950|167, Fig. 182||no|no|yes|cdisc
BARM1|1|ONeil/1932|105--106||yes|no|no|sdisc
BARM2|1|Anon/1850|317||no|no|no|minor
BARM2|1|Anon/1866|368||no|no|no|other
BARM2|1|Hubner/1876|45||no|no|no|cdisc
BARM2|1|Macalister/1945|391||no|no|yes|cdisc
BARM2|1|Nash-Williams/1950|167||no|no|yes|cdisc
BARM2|1|Westwood/1876|162||no|no|yes|cdisc
BARM2|1|Wynne/1850|229||no|no|no|other
BAROG|1|Buckley/1986|20||no|no|no|minor
BAROG|1|Gippert/Web|Ogam 39||yes|no|no|illus
BAROG|1|Macalister/1945|44||no|no|yes|cdisc
BAVEL|1|Macalister/1907|218--219||no|no|no|minor
BAVEL|1|Macalister/1945|291||no|no|no|minor
BAWGL|1|Macalister/1945|243||no|no|no|cdisc
BAYEL|1|Macalister/1907|25--31||no|no|no|sdisc
BAYEL|1|Macalister/1945|252--253||no|no|yes|cdisc
BCARE|1|Macalister/1945|54||yes|no|no|cdisc
BDAFN|1|Macalister/1945|363--364||no|no|yes|cdisc
BDAFN|1|Nash-Williams/1950|86||yes|no|yes|cdisc
BDAFN|1|RCAHMW/1956|115, Plate 4||yes|no|no|cdisc
BDAFN|1|Rhys/1877b|135||no|no|yes|cdisc
BDAFN|1|Westwood/1876|182, Plate LXXIX||no|no|yes|cdisc
BDREN|1|Cuppage/etal/1986|252--253||no|no|no|minor
BDREN|1|Macalister/1902|23--24||no|no|no|minor
BDREN|1|Macalister/1945|160--161||no|no|yes|cdisc
BDREN|2|Cuppage/etal/1986|44||no|no|no|minor
BDREN|2|Macalister/1945|161--162||no|no|yes|cdisc
BENBR|1|Macalister/1949|75||no|no|no|illus
BENBR|1|McManus/1991|75, 174 n. 7||no|no|no|cdisc
BGARR|1|Macalister/1945|253--254||yes|no|no|cdisc
BGLAS|1|Gippert/Web|Ogham 49||yes|no|no|cdisc
BGLAS|1|Macalister/1945|53--54||no|no|no|cdisc
BHILL|1|Macalister/1902|50--51||no|no|no|minor
BHILL|1|Macalister/1945|243--244||no|no|no|cdisc
BIISL|1|Gippert/Web|Ogham 61||yes|no|no|cdisc
BIISL|1|Macalister/1945|65||no|no|yes|cdisc
BIRSY|1|Forsyth/1996|76--81||yes|no|yes|sdisc
BIRSY|2|Forsyth/1996|81--82||yes|no|yes|sdisc
BIRSY|3|Forsyth/1996|85--92||yes|no|yes|sdisc
BISCV|1|Macalister/1949|183|none|no|no|no|sdisc
BISCV|1|Okasha/1993|63--67|photograph|yes|no|no|sdisc
BISCV|1|Thomas/1994|330||no|no|no|minor
