ciic	lat	lon
71	51.6788889	-8.846944444444444
72	51.7708333	-9.088055555555556
73	51.6883333	-8.95611111111111
74	51.6883333	-8.95611111111111
75	51.7594444	-9.185833333333333
76	51.645	-8.893055555555556
77	51.5777778	-9.0125
78	51.9577778	-8.539722222222222
79	51.9772222	-8.075555555555555
80	51.9772222	-8.075555555555555
81	51.8163889	-8.761666666666667
82	52.0269444	-8.071111111111112
83	52.0269444	-8.071111111111112
84	52.0269444	-8.071111111111112
85	52.0269444	-8.071111111111112
86	52.0269444	-8.071111111111112
87	52.0269444	-8.071111111111112
88	52.0269444	-8.071111111111112
89	52.0269444	-8.071111111111112
90	52.0269444	-8.071111111111112
91	52.0269444	-8.071111111111112
92	52.0269444	-8.071111111111112
93	52.0269444	-8.071111111111112
94	52.0269444	-8.071111111111112
95	52.0269444	-8.071111111111112
96	52.0269444	-8.071111111111112
97	51.8386111	-8.608333333333333
98	51.8386111	-8.608333333333333
99	51.8386111	-8.608333333333333
100	51.8386111	-8.608333333333333
101	51.8386111	-8.608333333333333
102	51.8386111	-8.608333333333333
103	52.0158333	-8.818333333333333
104	51.9558333	-8.823888888888888
105	51.9558333	-8.823888888888888
106	51.9408333	-8.887777777777778
107	51.9911111	-8.866111111111111
108	51.9875	-8.81
109	51.9855556	-8.789444444444444
110	51.9575	-8.83888888888889
111	51.9575	-8.83888888888889
112	51.8680556	-8.794722222222221
113	51.8680556	-8.794722222222221
114	51.8680556	-8.794722222222221
115	51.8680556	-8.794722222222221
116	51.8680556	-8.794722222222221
117	51.8680556	-8.794722222222221
118	51.9744444	-8.779444444444445
119	51.9744444	-8.779444444444445
120	51.9744444	-8.779444444444445
121	51.9744444	-8.779444444444445
122	51.9708333	-8.829444444444444
123	51.9708333	-8.829444444444444
124	51.8866667	-8.784166666666666
125	51.8866667	-8.784166666666666
126	51.8866667	-8.784166666666666
127	51.9463889	-8.757222222222222
128	52.0075	-8.909166666666668
129	51.5086111	-9.02638888888889
130	52.0666667	-8.928055555555554
131	0	0
132	0	0
133	0	0
134	51.8283333	-9.228055555555555
135	0	0
136	52.3288889	-9.772777777777778
137	52.3627778	-9.724166666666667
138	52.1294444	-10.17611111111111
139	52.1294444	-10.17611111111111
140	52.1294444	-10.17611111111111
141	52.1330556	-10.138055555555555
142	52.1330556	-10.138055555555555
143	52.1591667	-10.063055555555556
144	52.1430556	-10.049166666666666
145	52.2675	-10.236944444444443
146	52.1666667	-10.382222222222223
147	52.1405556	-10.2075
148	52.1761111	-10.386111111111111
149	52.1761111	-10.386111111111111
150	52.1761111	-10.386111111111111
151	52.1761111	-10.386111111111111
152	52.1761111	-10.386111111111111
153	52.1761111	-10.386111111111111
154	52.1761111	-10.386111111111111
155	52.1725	-10.031111111111112
156	52.1725	-10.031111111111112
157	52.1725	-10.031111111111112
158	52.1725	-10.031111111111112
159	52.1725	-10.031111111111112
160	52.1725	-10.031111111111112
161	52.1725	-10.031111111111112
162	52.1725	-10.031111111111112
163	52.1725	-10.031111111111112
164	52.1552778	-10.03138888888889
165	52.1552778	-10.03138888888889
166	0	0
167	52.1658333	-10.0375
168	52.1658333	-10.0375
169	52.1605556	-10.323333333333332
170	52.1513889	-10.3275
171	52.1875	-10.029722222222222
172	52.1558333	-10.400833333333333
173	52.1469444	-10.036388888888888
174	0	0
175	52.1258333	-10.306944444444445
176	52.215	-9.910277777777779
177	52.215	-9.910277777777779
178	52.1119444	-10.458333333333332
179	52.14	-10.270000000000001
180	52.1330556	-10.228055555555555
181	52.1352778	-10.270555555555557
182	0	0
183	52.1033333	-10.437222222222223
184	52.1408333	-10.126666666666667
185	52.0444444	-10.607777777777777
186	52.1533333	-10.300555555555556
187	52.1883333	-10.333055555555555
188	52.1205556	-10.194444444444445
189	52.1205556	-10.194444444444445
190	52.1358333	-10.124722222222223
191	52.1358333	-10.124722222222223
192	52.2519444	-10.023333333333333
193	52.1447222	-10.359444444444444
194	52.1677778	-10.024444444444445
194A	52.1677778	-10.024444444444445
195	52.1725	-9.990555555555554
196	52.1725	-9.990555555555554
