SITE|BIB_REF|PAGES|ILLUSTRATE|PHOTO|DRAWING|MAP|VALUE
CACHU|Macalister/1949|79||no|no|no|cdisc
CALDY|RCHAMW/1925|37--40||no|no|no|sdisc
CALDY|Westwood/1879|106--108||no|no|no|cdisc
CAMP|Cuppage/etal/1986|254||no|no|no|cdisc
CAMP|Macalister/1945|168--169||no|no|no|cdisc
CARDM|Langdon/1896|354|drawing|no|no|no|minor
CARDM|Okasha/1993|85|none|no|no|no|minor
CAREW|RCHAMW/1925|50||no|no|no|cdisc
CARHA|Macalister/1945|77--78||no|no|no|cdisc
CARHA|Power/etal/1992|231||no|no|no|cdisc
CARIN|Macalister/1945|223--224||no|no|no|cdisc
CARIN|OSullivan/1996|240||no|no|yes|cdisc
CATEM|Wallace/Timoney/1987|43--61||yes|no|no|other
CBBRN|Macalister/1949|17--18||no|no|no|cdisc
CBRNW|Macalister/1945|311--313||no|no|no|cdisc
CBURG|Forsyth/1996|206--208||no|no|yes|sdisc
CDWYR|Laws/1895|303--307|no|no|no|no|cdisc
CDWYR|Thomas/1994|82|yes|no|no|yes|cdisc
CDWYR|WynEvans/1991|242--245|yes|no|no|yes|cdisc
CFERT|Higgins/1987|375||no|no|no|cdisc
CFERT|Macalister/1949|3||no|no|no|cdisc
CHEIL|Macalister/1945|308||no|no|no|cdisc
CHFLD|Cuppage/etal/1986|254||no|no|no|minor
CHLAR|Macalister/1945|33||no|no|no|cdisc
CHUIS|OKelly/1959|57-87||no|yes|no|sdisc
CHUIS|OSullivan/1996|253--258||yes|yes|yes|sdisc
CILGN|RCHAMW/1925|69||no|no|no|cdisc
CLARD|Petrie/1878|62--63||no|no|no|sdisc
CLASH|Lacy/etal/1983|233||no|no|no|list
CLBON|Macalister/1949|33||no|no|no|minor
CLCAH|Macalister/1945|224||no|no|no|minor
CLCAH|OSullivan/1996|267||no|no|yes|cdisc
CLGHI|Raftery/1967|219||no|no|no|minor
CLHEE|Power/etal/1997|171||no|no|no|minor
CLMOR|Harbison/1991|177-200||no|no|no|sdisc
CLMOR|Macalister/1945|18||no|no|no|cdisc
CLONC|Macalister/1949|115--116||no|no|no|minor
CLOOM|Gippert/Web|Ogham 2||yes|yes|no|sdisc
CLOOM|Macalister/1945|3--4||no|no|no|cdisc
CLOON|Macalister/1949|98||no|no|no|minor
CLYDI|RCHAMW/1925|74||no|no|no|cdisc
CLYDI|Westwood/1879|122||no|no|no|minor
CMBRN|Macalister/1949|177|none|no|no|no|minor
CMBRN|Okasha/1993|82|none|no|no|no|minor
CNWYL|Jones/1994|81-95|yes|no|no|yes|sdisc
