latitude|longitude|altitude|geometry|macci|ciic|mac|lug|qen|avi|cuna|maq|maqi|alatto|alattos|qasign|ceran|acto|mucoi|cuno|medvvi|vraicci|catto|ivacattos|iva|cat|cattos|maqqi|koi|tren|netta|bran|drugno|vir|ver|dov|branogeni|ineqaglas|glas|covagni|bar|bari|iarni|dercmasoc|erc|neta|cari|anm|trenu|cattu|brusco|colomagni|dovalesci|giragni|viragni|coimagni|mocoi|moco|domngen|conann|cona|con|casoni|maci|brocc|bir|bait|cronun|erca|dommo|meddo|corbagni|corre|celi|cunas|cunagussos|dalagni|dali|dala|ttren|vergoso|dego|laddigni|laidann|corbbi|conas|glasiconas|curci|drogno|qeni|roddos|conu|brusccos|catu|brocann|gamicunas|degos|vorgos|battigni|cati|broci|gatteglan|mocu|baidagni|ritte|cattuvvirr|ivageni|ivo|daimagni|gosoctas|cunnetas|cata|catabar|moddagn|brocagni|magl
51.9577778|-8.539722222222222||Point||78||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.9772222|-8.075555555555555||Point||79||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.9772222|-8.075555555555555||Point||80||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.8163889|-8.761666666666667||Point||81||||||true|true||||||true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.0269444|-8.071111111111112||Point||82||||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.0269444|-8.071111111111112||Point||83|true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||true|||||||||||||||||||||||||||||||||||||||||||||||||||
52.0269444|-8.071111111111112||Point||84||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.0269444|-8.071111111111112||Point||85||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.0269444|-8.071111111111112||Point||86||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.0269444|-8.071111111111112||Point||87||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.0269444|-8.071111111111112||Point||88||||||true|true|||||||||||||||||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.0269444|-8.071111111111112||Point||89||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||true||||||||||||||||||||||||||||||||||||||||||||||||||
52.0269444|-8.071111111111112||Point||90|true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||true|true||||||||||||||||||||||||||||||||||||||||||||||||
52.0269444|-8.071111111111112||Point||91||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.0269444|-8.071111111111112||Point||92||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.0269444|-8.071111111111112||Point||93|||||||||||||||||||||||||||||||||||||||true||||||||||||||||||||||||true|||||||||||||||||||||||||||||||||||||||||||||||
52.0269444|-8.071111111111112||Point||94|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||true||||||true||||||||||||||||||||||||||||||||||||||||||||||
52.0269444|-8.071111111111112||Point||95|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||true|||||||||||||||||||||||||||||||||||||||||||||
52.0269444|-8.071111111111112||Point||96||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.8386111|-8.608333333333333||Point||97||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.8386111|-8.608333333333333||Point||98||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||true||||||||||||||||||||||||||||||||||||||||||||
51.8386111|-8.608333333333333||Point||99||||||||||||||||||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.8386111|-8.608333333333333||Point||100||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.8386111|-8.608333333333333||Point||101||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.8386111|-8.608333333333333||Point||102||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.0158333|-8.818333333333333||Point||103||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.9558333|-8.823888888888888||Point||104||||||true||||||||||||||||||||||||||||||||||||true|||||||||||||||||||||||||true|||||||||||||||||||||||||||||||||||||||||||
51.9558333|-8.823888888888888||Point||105|||||true|||||||||||||||||||||||||||||||||||true||true||||||||||||||||||||||||||true|true|||||||||||||||||||||||||||||||||||||||||
51.9408333|-8.887777777777778||Point||106||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||true||||||||||||||||||||||||||||||||||||||||||||||||||
51.9911111|-8.866111111111111||Point||107|||||true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||true||||||||||||||||||||||||||||||||||||||||
51.9875|-8.81||Point||108||true||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.9855556|-8.789444444444444||Point||109|||||||||||||||||||||||||true|||||||||||||||||||||||||||||||||||||||||||true||||||||||||||||||||||||||||||||||||||||||
51.9575|-8.83888888888889||Point||110||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.9575|-8.83888888888889||Point||111||||||true|||||||true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.8680556|-8.794722222222221||Point||112||true||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.8680556|-8.794722222222221||Point||113||true||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.8680556|-8.794722222222221||Point||114||||||true|||||||||||||||||||||||||||||||||true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.8680556|-8.794722222222221||Point||115||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.8680556|-8.794722222222221||Point||116||||||true||||||||||||||||true||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.8680556|-8.794722222222221||Point||117||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.9744444|-8.779444444444445||Point||118|||||||||||||true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.9744444|-8.779444444444445||Point||119||||||true|true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||true|true|true|||||||||||||||||||||||||||||||||||||
51.9744444|-8.779444444444445||Point||120||true|||||||||||||||||||||true|true||||||||||||||||true||||||||||||||||||||||||||||||||||true||||||||||||||||||||||||||||||||||||
51.9744444|-8.779444444444445||Point||121|true||||||||||||||||||||||||||||true|||||||||||||||||||||||||||||true|||||||||||||||||true|||||||||||||||||||||||||||||||||||
51.9708333|-8.829444444444444||Point||122||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||true||||||||||||||||||||||||||||||||||
51.9708333|-8.829444444444444||Point||123||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||true||||||||||||||||||||||||||||||||||||||||||
51.8866667|-8.784166666666666||Point||124||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.8866667|-8.784166666666666||Point||125||||||true|true||||||||||||||||||||||||||||||||true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.8866667|-8.784166666666666||Point||126|||||true|true|true||||||true|||||||||||||||||||||||||||||||||||||||||||||||true||||||||||||||||||||||||||||||||||||||||||||||||||
51.9463889|-8.757222222222222||Point||127|true|||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.0075|-8.909166666666668||Point||128||||||true|true|||||||||||||||||||||||true||||||||||||||||||||||||||||||||||||||true||||||||||||||||||||||||||||||||||||||||||
51.5086111|-9.02638888888889||Point||129||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.0666667|-8.928055555555554||Point||130||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.8494444|-9.115||Point||131||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||true||||||||||||||||||||||||||||||||||||||||||||||||||
51.8494444|-9.115||Point||132||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.8494444|-9.115||Point||133||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.8283333|-9.228055555555555||Point||134|||||||||||||||||||||||||||||||||||||||||||||||||||||||true|true||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.9261111|-9.08388888888889||Point||135||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.3288889|-9.772777777777778||Point||136||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.3627778|-9.724166666666667||Point||137|true|||||||||||||||||||||||||||||||||||||||||true||||||||||||||||true||||||||||||||||||||||||||||||||||||||||||||||||||||
52.1294444|-10.17611111111111||Point||138||||||true||||||||||||||||true|||||||||||||||||||||||||||||||||||||||||||||||||||||||true|||||||||||||||||||||||||||||||||
52.1294444|-10.17611111111111||Point||139|true|||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||true||||||||||||||||||||||||||||||||
52.1294444|-10.17611111111111||Point||140||true||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.1330556|-10.138055555555555||Point||141||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.1330556|-10.138055555555555||Point||142||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||true||||||||||||||||||||||||||||||||||||||||||
52.1591667|-10.063055555555556||Point||143||||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.1430556|-10.049166666666666||Point||144||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.2675|-10.236944444444443||Point||145||||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.1666667|-10.382222222222223||Point||146||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.1405556|-10.2075||Point||147||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.1761111|-10.386111111111111||Point||148||||||true||||||||||||||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.1761111|-10.386111111111111||Point||149||||||true||||||||||||||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.1761111|-10.386111111111111||Point||150||||true||true|true||||||true|||||||||||||||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.1761111|-10.386111111111111||Point||151||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.1761111|-10.386111111111111||Point||152||||||true||||||||||||||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.1761111|-10.386111111111111||Point||153||||||true||||||||||||||true||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.1761111|-10.386111111111111||Point||154|||||true|true||||||||||||||||true||||||||true|||||||||||||||||||||||||||||||||||||||||||||||||true|||||||||||||||||||||||||||||||
52.1725|-10.031111111111112||Point||155||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.1725|-10.031111111111112||Point||156||||||true||||||||||||||||true|true|||||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.1725|-10.031111111111112||Point||157||||||true||||||||||||||true||true||||||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
