ciic	count	lat	lon
144	1	52.1430556	-10.049166666666666
145	1	52.2675	-10.236944444444443
146	1	52.1666667	-10.382222222222223
147	1	52.1405556	-10.2075
148,149,150,151,152,153,154	7	52.1761111	-10.386111111111111
155,156,157,158,159,160,161,162,163	9	52.1725	-10.031111111111112
164,165	2	52.1552778	-10.03138888888889
166	1	52.1869444	-10.159444444444444
167,168	2	52.1658333	-10.0375
169	1	52.1605556	-10.323333333333332
170	1	52.1513889	-10.3275
171	1	52.1875	-10.029722222222222
172	1	52.1558333	-10.400833333333333
173	1	52.1469444	-10.036388888888888
174	1	52.1869444	-10.159444444444444
175	1	52.1258333	-10.306944444444445
176,177	2	52.215	-9.910277777777779
178	1	52.1119444	-10.458333333333332
179	1	52.14	-10.270000000000001
180	1	52.1330556	-10.228055555555555
181	1	52.1352778	-10.270555555555557
182	1	52.1869444	-10.159444444444444
183	1	52.1033333	-10.437222222222223
184	1	52.1408333	-10.126666666666667
185	1	52.0444444	-10.607777777777777
186	1	52.1533333	-10.300555555555556
187	1	52.1883333	-10.333055555555555
188,189	2	52.1205556	-10.194444444444445
190,191	2	52.1358333	-10.124722222222223
192	1	52.2519444	-10.023333333333333
193	1	52.1447222	-10.359444444444444
194,194A	2	52.1677778	-10.024444444444445
195,196	2	52.1725	-9.990555555555554
197,198,199,200,201,202,203	7	52.0611111	-9.642777777777777
204	1	52.2086111	-9.621666666666668
205	1	51.9744444	-9.665000000000001
206,207,208,209,210,211,212,213	8	52.0719444	-9.747222222222222
214	1	52.0680556	-9.71888888888889
215,216,217,218,218A	5	52.0805556	-9.703055555555554
219	1	51.91	-9.746666666666666
220	1	51.7730556	-10.122222222222224
221	1	51.8811111	-9.786666666666667
222	1	51.8586111	-9.875
223	1	51.8586111	-9.875
224	1	51.8852778	-9.525833333333335
225	1	51.8475	-9.551666666666668
226	1	51.8394444	-9.389166666666666
227	1	51.8833333	-9.413611111111111
228	1	52.5666667	-9.421388888888888
229	1	51.9211111	-10.166666666666666
230	1	51.8941667	-10.176944444444445
231,232	2	51.9122222	-10.365555555555556
233	1	51.8480556	-10.11361111111111
234	1	52.0311111	-10.029166666666667
235	1	51.9133333	-10.175833333333333
236,237	2	51.8433333	-10.301944444444445
238	1	51.9233333	-10.220833333333333
239	1	52.0136111	-10.025277777777779
240	1	51.9708333	-10.05888888888889
241	1	52.0861111	-9.67361111111111
242,242A	2	52.0777778	-9.558333333333334
243,244,245,246	4	52.1288889	-9.631666666666668
246A,246B	2	52.1655556	-9.73361111111111
247	1	52.1477780	-9.6627780
248	1	52.1425	-9.43888888888889
249	1	52.1619444	-9.687777777777779
250	1	52.1658333	-9.771944444444445
251	1	52.1916667	-9.5325
252	1	52.2266667	-9.581944444444444
253	1	52.2336111	-9.540833333333333
254	1	52.2336111	-9.540833333333333
255,256	2	52.1247222	-9.7575
256A	1	52.2680556	-9.710277777777778
257	1	52.4575	-8.823888888888888
258	1	52.3819444	-8.377222222222223
259	1	52.3286111	-8.562777777777779
260	1	52.2758333	-8.105277777777777
261	1	52.2216667	-7.758055555555556
262	1	52.1994444	-7.998888888888889
263,264,265	3	51.9441667	 -7.729166666666667
266,267,268	3	52.0644444	-7.848888888888888
269	1	51.9883333	-7.755833333333333
270,271	2	52.1333333	-7.439166666666667
272,273,274,275,276,277,278,279,280,281	10	52.1630556	-7.468055555555556
282	1	52.1552778	-7.495
283,284	2	52.1913889	-7.483333333333333
285	1	52.1102778	-7.544722222222222
286,287,288,289,290	5	52.0905556	-7.549722222222222
291	1	52.1025	-7.804444444444444
292,293,294,295,296,297,298,299	8	52.1113889	-7.6
300	1	52.1608333	-7.59
301	1	52.2672222	-7.746944444444445
302	1	52.185	-7.226666666666667
303	1	52.3111111	-7.385000000000001
304	1	52.3305556	-7.391111111111112
305	1	52.3241667	-7.379166666666666
306	1	52.3263889	-7.511666666666667
307,308	2	52.3419444	-7.487777777777778
309,310	2	54.8030556	-6.183333333333334
311	1	54.3072222	-6.655277777777778
312	1	53.805	-6.954444444444444
313	1	53.7944444	-7.209444444444444
314	1	54.6086111	-7.871111111111111
315	1	54.3622222	-7.5175
316	1	55.1166667	-6.7444444444444445
317	1	54.6994444	-7.047777777777777
