SITE|STONE|INSCRIPTIO|BIB_REF|PAGES|ILLUSTRATI|PHOTO|DRAWING|VALUE
BALIG|3|1|Macalister/1897|146--147||no|yes|cdisc
BALIG|3|1|Macalister/1945|146--147||no|yes|cdisc
BALIG|4|1|Macalister/1897|29||no|no|cdisc
BALIG|4|1|Macalister/1945|147||no|yes|cdisc
BALIG|5|1|Macalister/1897|29--30||no|yes|cdisc
BALIG|5|1|Macalister/1945|147--148||no|yes|cdisc
BALIG|6|1|Macalister/1897|30--31||no|yes|cdisc
BALIG|6|1|Macalister/1945|149||no|yes|cdisc
BALIG|7|1|Macalister/1897|31||no|no|list
BALIG|7|1|Macalister/1945|149--150||no|yes|cdisc
BALIG|7|1|McManus/1991|66||no|no|read
BALIG|8|1|Macalister/1945|150--151||no|yes|cdisc
BARDS|1|1|Anon/1848|363||no|no|other
BARDS|1|1|Hubner/1876|50||no|no|list
BARDS|1|1|Macalister/1949|143--144||yes|no|cdisc
BARDS|1|1|Nash-Williams/1950|86--87, Plate XXXV||yes|yes|cdisc
BARDS|1|1|RCAHMW/1964|19||yes|no|cdisc
BARDS|1|1|Westwood/1876|181--182, Plate LXXXI||no|yes|cdisc
BARHA|1|1|Gippert/Web|103||yes|no|cdisc
BARHA|1|1|Macalister/1907|123--124||no|yes|cdisc
BARHA|1|1|Macalister/1945|102--103||no|yes|cdisc
BARHA|1|1|Ziegler/1994|260||no|no|read
BARM1|1|1|Macalister/1945|392||no|yes|cdisc
BARM1|1|1|Nash-Williams/1950|167||no|yes|cdisc
BARM1|1|1|ONeil/1932|105--107||yes|yes|cdisc
BARM2|1|1|Anon/1866|369||no|no|other
BARM2|1|1|Hubner/1876|45||no|yes|cdisc
BARM2|1|1|Macalister/1945|391||no|yes|cdisc
BARM2|1|1|Nash-Williams/1950|167, Fig. 181||no|yes|cdisc
BARM2|1|1|Rhys/1873|11||no|no|list
BARM2|1|1|Westwood/1876|162--3||no|yes|cdisc
BAROG|1|1|Buckley/1986|20||no|no|minor
BAROG|1|1|Macalister/1945|44||no|yes|cdisc
BAROG|1|1|McManus/1991|102, 103, 105, 117-118.||no|no|cdisc
BAROG|1|1|Ziegler/1994|141||no|no|cdisc
BAVEL|1|1|Macalister/1907|218--219||no|yes|minor
BAVEL|1|1|Macalister/1945|291||no|no|minor
BAWGL|1|1|Macalister/1945|243||no|no|cdisc
BAWGL|1|1|Ziegler/1994|273||no|no|read
BAYEL|1|1|Macalister/1945|252--253||no|yes|cdisc
BCARE|1|1|Macalister/1945|54||yes|no|cdisc
BDAFN|1|1|Anon/1912|149||no|yes|minor
BDAFN|1|1|Macalister/1945|363--364||no|yes|cdisc
BDAFN|1|1|Nash-Williams/1950|86||yes|yes|cdisc
BDAFN|1|1|Owen/1896|138||no|no|cdisc
