SITE|STONE|INSCRIPTIO|BIB_REF|PAGES|ILLUSTRATI|PHOTO|DRAWING|VALUE
IMRRY|6|1|Macalister/1949|20, Plate II||no|yes|cdisc
IMRRY|7|1|Macalister/1949|21||no|no|cdisc
IMRRY|8|1|Macalister/1949|21||no|no|cdisc
INAGH|1|1|Macalister/1945|219--221||yes|no|cdisc
INAGH|1|1|Ziegler/1994|218||no|no|cdisc
INBOF|1|1|Macalister/1949|79, Plate VII||no|yes|cdisc
INBOF|2|1|Macalister/1949|79||no|no|cdisc
INBOF|3|1|Macalister/1949|80||no|no|list
INCHA|1|1|Gippert/Web|Ogham 1||yes|yes|sdisc
INCHA|1|1|Higgins/1987|303-304, Fig 31A-B, Pl 6A-B,7A||yes|yes|cdisc
INCHA|1|1|Korolev/1984|58||inc|inc|inc
INCHA|1|1|Macalister/1945|1--3|2|no|yes|cdisc
INCHA|1|1|McManus/1991|59--61, 80--81, 96|drawing|no|no|sdisc
INCHA|1|1|Petrie/1878|10, Plate VI||no|yes|cdisc
INCHY|1|1|Forsyth/1996|343--346||yes|yes|sdisc
INCHY|1|2|Forsyth/1996|346--248||yes|yes|sdisc
INCLO|1|1|Macalister/1945|29, Plate V||yes|yes|minor
INDQS|1|1|Huebner/1876|4||no|yes|cdisc
INDQS|1|1|Langdon/Allen/1895|55|none|no|no|other
INDQS|1|1|Macalister/1945|453|drawing|no|yes|sdisc
INDQS|1|1|Okasha/1993|123--124|none|yes|no|sdisc
INDQS|1|1|Thomas/1994|282--283|drawing|no|yes|sdisc
INDRE|1|1|Costa/1964|241||yes|no|cdisc
INDRE|1|1|LeBlant/1865|558, fig. 549||no|yes|cdisc
INVIC|1|1|Cuppage/etal/1986|300-301||no|yes|cdisc
INVIC|1|1|Macalister/1945|178-179||no|yes|cdisc
INVIC|2|1|Cuppage/etal/1986|301||no|no|cdisc
INVIC|2|1|Macalister/1949|96, Plate XXXVI||no|yes|cdisc
ISLAN|1|1|Gippert/Web|Ogham 3||yes|yes|
ISLAN|1|1|Macalister/1945|5||no|yes|cdisc
ITNNG|1|1|Cuppage/etal/1986|297||no|no|minor
JRDNS|1|1|Jackson/1953|291, note 1||no|no|other
JRDNS|1|1|Macalister/1922a|33||no|no|cdisc
JRDNS|1|1|Macalister/1945|412--413||no|yes|cdisc
JRDNS|1|1|Nash-Williams/1950|186, Plate IV||no|yes|cdisc
JRDNS|1|1|RCHAMW/1925|130||no|no|minor
JRDNS|1|1|Rhys/1918|189||no|no|minor
JRDNS|1|2|Jackson/1953|291, note 1||no|no|other
JRDNS|1|2|Macalister/1945|412--413||no|yes|cdisc
JRDNS|1|2|Nash-Williams/1950|186, Plate IV, Fig. 202||yes|yes|cdisc
JRDNS|1|2|RCHAMW/1925|130||no|no|minor
JRDNS|1|2|Rhys/1918|189||no|no|minor
KBRCN|1|1|Higgins/1987|358||no|yes|cdisc
KBRCN|1|1|Macalister/1949|5, Plate II||no|yes|cdisc
KBRCN|2|1|Higgins/1987|368--369||yes|yes|cdisc
KBRCN|2|1|Macalister/1949|6||no||
KBRCN|3|1|Higgins/1987|307, Fig. 34, Pl. 8B, 29B||yes|yes|cdisc
KBRCN|3|1|Macalister/1949|6--7||no|yes|cdisc
KBRCN|4|1|Macalister/1945|7||no|yes|cdisc
KBRCN|4|1|Macalister/1949|7, Plate II||no|yes|
KBRCN|5|1|Higgins/1987|363||no|yes|cdisc
KBRCN|5|1|Macalister/1949|7||no|no|cdisc
KBRCN|6|1|Higgins/1987|359||yes|yes|cdisc
KBRCN|6|1|Macalister/1949|7, Plate II||no|yes|cdisc
KBRCN|7|1|Higgins/1987|324, Fig. 46||no|yes|cdisc
KBRCN|8|1|Higgins/1987|372||yes|yes|cdisc
KBRCN|8|1|Macalister/1949|8--9||no|yes|
KCMMN|1|1|Macalister/1949|13--14||no|yes|cdisc
KCMMN|1|1|Petrie/1878|46, Plate XXVIII||no|yes|cdisc
KDEAS|1|1|Lionard/1961|111, fig. 9.7||no|yes|illus
KDEAS|1|1|Macalister/1949|123, pl. XLVII||no|yes|cdisc
KDEAS|2|1|Macalister/1949|123, pl. XLVII||no|yes|cdisc
KEELW|1|1|McManus/1991|73||no||cdisc
KEELW|1|1|Raftery/1960|33||inc||cdisc
KEENH|1|1|Macalister/1945|78--79||no|yes|cdisc
KEENH|1|1|McManus/1991|95||no|no|minor
KEENH|1|1|Ziegler/1994|146||no|no|cdisc
KELLS|1|1|Macalister/1949|33--34||no|yes|cdisc
KELLS|2|1|Harbison/1992|101||no|no|cdisc
KELLS|2|1|Macalister/1934|17||no|no|cdisc
KELLS|2|1|Macalister/1949|34--36||yes|no|cdisc
KELLS|2|2|Harbison/1992|102, 362||no|no|cdisc
KELLS|2|2|Macalister/1934|17||inc|inc|cdisc
KELLS|2|2|Macalister/1949|35--36||no|no|cdisc
KENFG|1|1|Anon/1846|413--416||no|no|other
KENFG|1|1|Anon/1869|444||no|no|minor
KENFG|1|1|Anon/1928|375--377||yes|yes|sdisc
KENFG|1|1|Brash/1869|152--153||no|no|cdisc
KENFG|1|1|Huebner/1876|25||no|yes|list
KENFG|1|1|Macalister/1945|385--388||yes|yes|sdisc
KENFG|1|1|Nash-Williams/1950|132, pl. III||yes|no|cdisc
KENFG|1|1|RCHAMW/1976|38, pl. 2||yes|no|cdisc
KENFG|1|1|Rhys/1899|133--136||no|yes|sdisc
KENFG|1|1|Westwood/1879|20--22, pl. XIII, fig. 1||no|yes|sdisc
KENFG|1|2|Anon/1869|444||no|no|minor
KENFG|1|2|Anon/1928|374--375||no|no|cdisc
KENFG|1|2|Brash/1869|152||no|no|read
KENFG|1|2|Huebner/1876|25||no|yes|list
KENFG|1|2|Macalister/1945|385--388||yes|yes|cdisc
KENFG|1|2|Nash-Williams/1950|132, pl. III, fig. 144||yes|yes|cdisc
KENFG|1|2|RCHAMW/1976|38, pl. 2||yes|no|cdisc
KENFG|1|2|Rhys/1899|132--133, 136||no|yes|cdisc
KENFG|1|2|Westwood/1879|20--21, pl. XIII, fig. 1||no|yes|cdisc
KFNTN|1|1|Cuppage/etal/1986|302, 304, Plate XVIb||yes|yes|cdisc
KFNTN|1|1|Ferguson/1887|no. 37||no|yes|cdisc
KFNTN|1|1|Macalister/1945|179--180||no|yes|cdisc
KFNTN|1|2|Cuppage/etal/1986|302, 304, Plate XVIb||yes|yes|cdisc
KFNTN|1|2|Macalister/1945|179--180||no|yes|cdisc
KFNTN|1|2|McManus/1991|61||no|no|read
KILEG|1|1|Macalister/1945|49--50||no|yes|cdisc
KILMA|1|1|Macalister/1945|6--7|2|no|yes|cdisc
KILMA|1|2|Macalister/1945|6--7|2|no||illus
KILTH|1|1|Macalister/1945|109--110||no|yes|cdisc
KILTH|1|1|Ziegler/1994|198||no|no|cdisc
KINET|1|1|Macalister/1945|181--182||no|yes|cdisc
KINET|1|1|McManus/1991|65||no|no|read
KINET|1|1|Swift/1997|91, 96||no|no|other
KINET|1|1|Ziegler/1994|204||no|no|cdisc
KINET|2|1|Cuppage/etal/1986|328||no|no|cdisc
KINET|2|1|Macalister/1945|182--183||no|yes|cdisc
KINET|2|1|McManus/1986|21||no|no|cdisc
KIOLA|1|1|Lionard/1961|119, Fig. 14.3||no|yes|cdisc
KIOLA|1|1|Macalister/1949|112, pl. XLV||no|no|read
KIOLA|1|1|Petrie/1878|73, fig. 80||no|yes|read
KLBEG|1|1|Macalister/1945|280||no|yes|cdisc
KLBEG|1|1|McManus/1991|66||no|no|read
KLBEG|1|1|Ziegler/1994|138||no|no|other
KLBON|1|1|Gippert/Web|241||yes|yes|sdisc
KLBON|1|1|Macalister/1945|235--236||no|yes|cdisc
KLBON|1|2|Gippert/Web|241||yes|yes|sdisc
KLBON|1|2|Macalister/1945|235--236||no|yes|cdisc
KLBON|1|2|Ziegler/1994|134||no|no|cdisc
KLBON|1|3|Gippert/Web|241||yes|yes|cdisc
KLBON|1|3|Macalister/1945|236--237||no|yes|cdisc
KLBON|1|3|McManus/1991|66||no|no|read
KLCAS|1|1|Macalister/1945|72--73||no|yes|cdisc
KLCAS|1|1|Ziegler/1994|199||no|no|other
KLCOO|1|1|Gippert/Web|206||yes|yes|sdisc
KLCOO|1|1|Lionard/1961|128, fig. 21.15||no|yes|illus
KLCOO|1|1|Macalister/1945|201--202||no|yes|cdisc
KLCOO|1|1|Macalister/1949|125, pl. XLVII||no|yes|cdisc
KLCOO|1|1|O'Sullivan/Sheehan/1996|291--292||no|yes|cdisc
KLCOO|1|1|Ziegler/1994|237||no|no|other
KLCOO|1|2|Gippert/Web|206||yes|yes|sdisc
KLCOO|1|2|Macalister/1945|201--202||no|yes|cdisc
KLCOO|1|2|O'Sullivan/Sheehan/1996|291--292||no|yes|cdisc
KLCOO|1|2|Ziegler/1994|148||no|no|other
KLCOO|2|1|Gippert/Web|207||yes|yes|sdisc
KLCOO|2|1|Lionard/1961|118, fig. 13.5||no|yes|illus
KLCOO|2|1|Macalister/1945|202--203||no|yes|cdisc
KLCOO|2|1|Macalister/1949|125, pl. XLV||no|yes|cdisc
KLCOO|2|1|O'Sheehan/Sullivan/1996|291--292||no|yes|cdisc
KLCOO|3|1|Gippert/Web|208||no|yes|cdisc
KLCOO|3|1|Macalister/1945|203||no|no|minor
KLCOO|3|1|Macalister/1949|125||no|no|cdisc
KLCOO|3|1|O'Sullivan/Sheehan/1996|292||no|no|minor
KLCOO|4|1|Gippert/Web|209||yes|yes|sdisc
KLCOO|4|1|Macalister/1945|203--204||no|yes|cdisc
KLCOO|5|1|Gippert/Web|210||yes|yes|sdisc
KLCOO|5|1|Macalister/1945|204||no|yes|cdisc
KLCOO|5|1|O'Sullivan/Sheehan/1996|291--292, Fig. 184||no|yes|cdisc
KLCOO|6|1|Gippert/Web|211||yes|yes|cdisc
KLCOO|6|1|Macalister/1945|204--205||no|yes|cdisc
KLCOO|6|1|McManus/1991|95||no|no|read
KLCOO|6|1|O'Sullivan/Sheehan/1996|291--292, Fig. 184||no|yes|cdisc
KLCOO|7|1|Gippert/Web|212||yes|yes|cdisc
KLCOO|7|1|Macalister/1945|205||no|no|minor
KLCOO|7|1|O'Sullivan/Sheehan/1996|291--291, Fig. 184||no|yes|cdisc
KLCOO|8|1|Gippert/Web|213||no|no|cdisc
KLCOO|8|1|Macalister/1945|205||no|yes|minor
KLCOO|8|1|O'Sullivan/Sheehan/1996|292||no|no|read
KLCUM|1|1|Macalister/1945|18||no|no|cdisc
KLGOB|1|1|Macalister/1945|206--208||yes|yes|cdisc
KLGOB|1|1|O'Sheehan/Sullivan/1996|161||no|no|cdisc
KLGOB|1|1|Ziegler/1994|244||no|no|cdisc
KLGOB|2|1|Macalister/1945|205--208||no|no|cdisc
KLGOB|2|1|OSullivan/Sheehan/1996|242--243||no|no|cdisc
KLGOB|3|1|Macalister/1945|207--208||no|no|cdisc
KLGOB|3|1|OSullivan/Sheehan/1996|295||no|no|cdisc
KLGRO|1|1|Macalister/1945|227, 229--230||no|yes|cdisc
KLGRO|1|1|O'Sullivan/Sheehan/1996|300--301, Fig. 193||no|yes|cdisc
KLGRO|1|1|Ziegler/1994|247||no|no|cdisc
KLGRV|1|1|Macalister/1945|281||no|yes|cdisc
KLGRV|1|1|Ziegler/1994|160||no|no|other
KLGRV|2|1|Macalister/1945|282--283||no|yes|cdisc
KLGRV|2|1|Ziegler/1994|215--216||no|no|other
KLGRV|3|1|Macalister/1945|283--284||no|yes|cdisc
KLGRV|3|1|Ziegler/1994|164||no|no|other
KLGRV|4|1|Macalister/1945|284||no|yes|cdisc
KLGRV|4|1|Ziegler/1994|161||no|no|other
KLGRV|5|1|Macalister/1945|284--285||no|yes|cdisc
KLGRV|6|1|McManus/1991|73||no|no|minor
KLGRV|6|1|Raftery/1969|105||no|no|cdisc
KLKEE|1|1|Macalister/1945|227||no|no|cdisc
KLLAG|1|1|OSullivan/Sheehan/1996|298--299, Fig 175b, Plate XXIa||yes|yes|cdisc
KLLOE|1|1|Barnes/Hagland/Page/1997|53--55, Plate XXIV||yes|no|sdisc
KLLOE|1|1|Gippert/Web|54||yes|yes|sdisc
KLLOE|1|1|Macalister/1945|58--59||no|yes|cdisc
KLLOE|1|2|Gippert/Web|54||yes|yes|sdisc
KLLOE|1|2|Macalister/1945|58--59||no|yes|cdisc
KLLOE|1|2|McManus/1991|130--131||no|no|cdisc
KLMOL|1|1|Macalister/1945|285--286||no|yes|cdisc
KLORG|1|1|Macalister/1945|247--248||no|yes|cdisc
KLORG|1|2|Macalister/1945|247--248||no|yes|cdisc
KLORG|1|2|McManus/1991|65||no|no|read
KLORG|1|2|O'Sullivan/Sheehan/1996|244||no|no|cdisc
KLORG|1|2|Ziegler/1994|181||no|no|other
KLORG|2|1|Macalister/1945|248--249||no|yes|cdisc
KLORG|3|1|Macalister/1945|249||no|no|cdisc
KLQAN|1|1|Cuppage/etal/1986|323||no|no|minor
KLURL|1|1|Macalister/1945|229, 231--232||no|yes|cdisc
KLURL|1|1|OSullivan/Sheehan/1996|243--244||no|yes|cdisc
KLURL|1|1|Ziegler/1994|196||no|no|other
KLURL|2|1|Macalister/1945|231--232||no|yes|cdisc
KLURL|2|1|OSullivan/Sheehan/1996|244||no|no|cdisc
KLVMO|1|1|Macalister/1907|160||yes|no|cdisc
KLVMO|1|1|Macalister/1945|130||no|no|cdisc
KLVMO|1|1|Ziegler/1994|130||no|no|other
KLWER|1|1|Macalister/1945|110--111||no|yes|cdisc
KLWER|1|1|Ziegler/1994|214, 240||no|no|other
KMERY|1|1|Macalister/1949|25||no|yes|cdisc
KMERY|1|2|Macalister/1949|25||no|yes|cdisc
KMERY|2|1|Macalister/1949|25||no|no|minor
KMERY|3|1|Harbison/1992|122, Fig. 410||yes|no|cdisc
KMERY|3|1|Macalister/1945|25, Plate V||no|yes|cdisc
KMICH|1|1|Browne/1890|343|no|no|no|cdisc
KMICH|1|1|Kermode/1907|72-74, 100-01, 195-199|   yes|yes|yes|sdisc
KMICH|1|1|Kermode/1910-1911|347--348|   yes|no|yes|minor
KMICH|1|1|McManus/1991|130--131|   no|no|no|sdisc
KMICH|1|1|Rhys/1892|301--303|yes|no|yes|read
KMICH|1|1|Sims-Williams/1992|30|no|no|no|other
KMICH|1|2|Kermode/1907|72-74, 100-01, 195-199|yes|no|yes|sdisc
KMICH|1|2|Kermode/1910-1911|347-348|yes|no|yes|sdisc
KMICH|1|2|Lord Southesk/1887|359-361|no|no|no|cdisc
KMICH|1|2|Page/1983|133-146|no|no|no|other
KMICH|1|3|Kermode/1907|195-199|yes|no|yes|sdisc
KMICH|1|3|Page/1982|inc||no|no|cdisc
KMICH|1|3|Page/1983|234-236|no|no|no|sdisc
KMICH|1|4|Kermode/1907|195--199|yes|no|yes|sdisc
KMICH|1|4|Page/1983|234-236, 239|no|no|no|sdisc
KMKDR|1|1|Cuppage/1986|311--312||no|yes|cdisc
KMKDR|1|1|Macalister/1949|96, Plate XLI||no|yes|minor
KMKDR|2|1|Cuppage/1986|311||yes|yes|cdisc
KMKDR|2|1|Macalister/1949|96, Plate IX||no|yes|cdisc
KMKDR|2|2|Cuppage/1986|311||yes|yes|cdisc
KMKDR|2|2|Macalister/1949|96--97||no|yes|cdisc
KNBOY|1|1|Macalister/1945|286||no|no|cdisc
KNBOY|2|1|Macalister/1945|286||no|yes|cdisc
KNBOY|3|1|Macalister/1945|287||no|yes|list
KNBOY|4|1|Macalister/1945|287||no|yes|cdisc
KNBOY|5|1|Macalister/1945|287||no|no|list
KNBOY|6|1|Macalister/1945|289||no|no|cdisc
KNBOY|6|1|Ziegler/1994|251||no|no|cdisc
KNBOY|7|1|Macalister/1945|288--289||no|yes|cdisc
KNBOY|7|1|Ziegler/1994|243||no|no|cdisc
KNBOY|8|1|Macalister/1945|289||no|yes|cdisc
KNBOY|8|1|Ziegler/1994|209, 212--213||no|no|cdisc
KNDJK|1|1|Thomas/1994|289, 330||no|no|cdisc
KNICK|1|1|Macalister/1945|54--55||no|yes|cdisc
KNKLA|1|1|Macalister/1945|294--95||no|no|cdisc
KNKLA|1|1|McManus/1991|112||no|no|minor
KNKLA|1|1|Ziegler/1994|169, 198, 277||no|no|cdisc
KNMAH|1|1|Manning/1989|9||yes|yes|cdisc
KNOUR|1|1|Macalister/1945|111||no|no|cdisc
KNOUR|1|1|Power/etal/1997|171||no|no|cdisc
KNOUR|2|1|Macalister/1945|111--112||no|no|cdisc
KNOUR|2|1|Power/etal/1997|172||no|no|cdisc
KNWEE|1|1|Macalister/1945|112--113||no|yes|cdisc
KNWEE|1|1|McManus/1991|53, 67, 96||no|no|cdisc
KNWEE|1|1|Power/etal/1997|168||no|no|cdisc
KNWEE|2|1|Macalister/1945|113--114||no|yes|cdisc
KNWEE|2|1|McManus/1991|53, 65, 67, 96||no|no|cdisc
KNWEE|2|1|Power/etal/1997|168||no|no|cdisc
KNWEE|3|1|Macalister/1945|114||yes|no|cdisc
KNWEE|3|1|McManus/1991|66||no|no|cdisc
KNWEE|3|1|Power/etal/1997|169||no|no|cdisc
KNWEE|4|1|Macalister/1945|114||no|yes|cdisc
KNWEE|4|1|Power/etal/1997|169||no|no|cdisc
KNWEE|5|1|Macalister/1945|114--115||no|yes|cdisc
KNWEE|6|1|Macalister/1945|116||no|yes|cdisc
KNWEE|6|1|McManus/1991|66--67||no|no|cdisc
KRRIS|1|1|Thomas/unpub/1997|n/a||yes|yes|sdisc
KSAGT|1|1|Macalister/1949, XLVI|114--115, Plate XLVI||no|yes|cdisc
KSAGT|1|1|Petrie/1878|27--29, pl. XIX||yes|yes|sdisc
LABAN|1|1|Power/etal/1997|169||no|no|cdisc
LAEL1|1|1|Hemp/1923|318--319||yes|no|cdisc
LAEL1|1|1|Macalister/1945|363||no|yes|cdisc
LAEL1|1|1|Nash-Williams/1950|88, pl. II||yes|no|cdisc
LAEL1|1|1|RCAHMW/1960|110||no|no|cdisc
LAEL2|1|1|Hemp/1923|319||no|no|other
LAEL2|1|1|Huebner/1876|51||no|yes|minor
LAEL2|1|1|Jackson/1953|570, 610||no|no|other
LAEL2|1|1|Macalister/1945|362||no|yes|cdisc
LAEL2|1|1|Nash-Williams/1950|88, pl. IV||yes|yes|cdisc
LAEL2|1|1|RCAHMW/1960|110||yes|no|cdisc
LAEL2|1|1|Rhys/1874|247||no|no|sdisc
LAEL2|1|1|Westwood/1867|342||no|yes|cdisc
LAEL2|1|1|Westwood/1876|179--180||no|yes|sdisc
LAMOG|1|1|Macalister/1945|40--41||no|yes|cdisc
LAMOG|2|1|Macalister/1945|41--42||no|yes|cdisc
LANEY|1|1|Anon/1925|464|yes|yes|inc|illus
LANEY|1|1|Evans/1917|164|no|no|inc|minor
LANEY|1|1|Macalister/1949|141--142|Plate LI|no|yes|cdisc
LANEY|1|1|Nash-Williams/1950|111|Plate XXXVII|yes|yes|cdisc
LANEY|1|1|RCAHMW/1917, no. 188|inc|yes|yes||cdisc
LANEY|1|1|Westwood/1879|96|Plate L a-d|no||sdisc
LARON|1|1|Gippert/Web|364--373||yes|inc|sdisc
LARTH|1|1|Huebner/1876|41||no|yes|list
LARTH|1|1|Macalister/1922|213--214||no|no|cdisc
LARTH|1|1|Macalister/1945|333-334||no|yes|cdisc
LARTH|1|1|Nash-Williams/1950|95, Plate LIV||yes|yes|cdisc
LARTH|1|1|Rhys/1873|5||no|no|cdisc
LARTH|1|1|Westwood/1879|136||no|yes|cdisc
LARTH|1|2|Huebner/1876|41||no|yes|cdisc
LARTH|1|2|Macalister/1922|214||no|no|cdisc
LARTH|1|2|Macalister/1945|333--334||no|yes|cdisc
LARTH|1|2|Nash-Williams/1950|95, Plate LIV||yes|yes|cdisc
LARTH|1|2|Rhys/1873|5||no|no|cdisc
LARTH|1|2|Westwood/1879|135--36||no|yes|cdisc
LBABO|1|1|Camden/Gibson/1695|678||no|inc|illus
LBABO|1|1|Hubner/1876|155||no||inc
LBABO|1|1|Macalister/1945|306|yes|no||sdisc
LBABO|1|1|Nash-Williams/1950|53-54|yes|no||sdisc
LBABO|1|1|Radford/1937b|civ||no||list
LBABO|1|1|Rhys/1877|361||inc||inc
LBABO|1|1|Skinner/1908|69-70|yes|no||illus
LBABO|1|1|Westwood/1879|192||no||inc
LBOID|1|1|Lhuyd|84|yes|no||illus
LBOID|1|1|Macalister/1945|350|no|no||cdisc
LBOID|1|1|Nash-Williams/1950|111|no|no||read
LBOID|1|1|Owen/1896|133|yes|no||illus
LBOID|1|1|Steer/1968-69|129|no|no||other
LBOID|2|1|Huebner/1876|89|yes|no||illus
LBOID|2|1|Jackson/1953|440, 521, 566, 570|no|no||sdisc
LBOID|2|1|Macalister/1945|349--350|yes|no||sdisc
LBOID|2|1|Nash-Williams/1950|113|Plate X|yes||cdisc
LBOID|2|1|Owen/1896|132--133|yes|no||sdisc
LBOID|2|1|Rhys/1875|360--361|no|no||cdisc
LBOID|2|1|Rhys/1879|61|no|no||other
LBOID|2|1|Thomas/1994|158, note 22|no|no||other
LBOID|3|1|Huebner/1876|89|no|no||minor
LBOID|3|1|Macalister/1945|350|no|no||cdisc
LBOID|3|1|Rhys/1875|361|no|no||cdisc
LBOID|3|1|Westwood/1879|87|no|no||minor
LCARF|1|1|Macalister/1945|435--436|drawing|no|yes|sdisc
LCARF|1|1|Okasha/1993|126--127|photograph|yes|no|sdisc
LCARF|1|1|Thomas/1994|263--265 and fig. 15.7|drawing|no|yes|sdisc
LCRFN|1|1|Nash-Williams/1950|133, LXIII||yes|no|cdisc
LCRFN|1|1|RCHAMW/1973|62, pl. 24||yes|no|cdisc
LCRFN|1|1|Westwood/1879|236, pl. 101, fig. 3||no|yes|cdisc
LCURN|1|1|Macalister/1949|98, pl. XLIII||no|yes|cdisc
LCURN|1|2|Macalister/1949|98||no|yes|cdisc
LCURN|1|2|O'Sullivan/Sheehan/1996|320||no|no|cdisc
LCURN|2|1|Macalister/1949|98||no|yes|cdisc
LCURN|2|2|Macalister/1949|98||no|yes|minor
LCURN|2|3|Macalister/1949|98||no|yes|cdisc
LDDEW|1|1|Macalister/1949|135, Plate XLIX||no|yes|cdisc
LDDEW|1|1|Nash-Williams/1950|73||yes|yes|cdisc
LDDTY|1|1|Hubner/1876|16||no|yes|list
LDDTY|1|1|Macalister/1922|201||no|yes|cdisc
LDDTY|1|1|Macalister/1949|134||no|yes|cdisc
LDDTY|1|1|Nash-Williams/1950|71||yes|yes|cdisc
LDDTY|1|1|Westwood/1876|60||no|yes|cdisc
LDDTY|1|2|Macalister/1922|201||no|yes|cdisc
LDDTY|1|2|Macalister/1949|134--35||no|yes|cdisc
LDDTY|1|2|Nash-Williams/1950|71||yes|yes|cdisc
LDDTY|1|3|Macalister/1949|135||no|no|cdisc
LDDTY|1|3|Nash-Williams/1950|71||yes|yes|cdisc
LDEIL|1|1|Anon/1898|276||no|no|minor
LDEIL|1|1|Collier/1889|177||no|no|other
LDEIL|1|1|Jackson/1953|181||no|no|other
LDEIL|1|1|Macalister/1922a|30||no|no|cdisc
LDEIL|1|1|Macalister/1945|413--14||no|yes|cdisc
LDEIL|1|1|Nash-Williams/1950|186--188, Fig. 203||no|yes|cdisc
LDEIL|1|1|RCHAMW/1925|156||yes|no|cdisc
LDEIL|1|1|Rhys/1889|312--313||no|no|cdisc
LDEIL|1|1|Rhys/1893|286||no|no|cdisc
LDEIL|1|1|Rhys/1905|61||no|no|other
LDEIL|1|1|RomillyAllen/1889|307||no|yes|cdisc
LDEIL|1|1|RomillyAllen/1896|300||no|no|list
LDEIL|1|2|Anon/1898|276||no|no|minor
LDEIL|1|2|Collier/1889|177||no|no|other
LDEIL|1|2|Jackson/1953|181||no|no|other
LDEIL|1|2|Macalister/1922a|30||no|no|cdisc
LDEIL|1|2|Macalister/1945|413--414||no|yes|cdisc
LDEIL|1|2|Nash-Williams/1950|186--188, Fig. 213||no|yes|cdisc
LDEIL|1|2|RCHAMW/1925|156||yes|no|cdisc
LDEIL|1|2|Rhys/1889|312||no|no|cdisc
LDEIL|1|2|Rhys/1893|286||no|no|cdisc
LDEIL|1|2|Rhys/1905|61||no|no|cdisc
LDEIL|1|2|RomillyAllen/1889|307||no|yes|cdisc
LDEIL|1|2|RomillyAllen/1896|300||no|no|list
LDEIL|2|1|Anon/1898|276||yes|no|illus
LDEIL|2|1|Collier/1889|177||no|no|other
LDEIL|2|1|Jackson/1953|312||no|no|other
LDEIL|2|1|Macalister/1922a|30||no|no|cdisc
LDEIL|2|1|Macalister/1945|414--415||no|yes|cdisc
LDEIL|2|1|Nash-Williams/1950|188, Fig. 204||no|yes|cdisc
LDEIL|2|1|RCHAMW/1925|156||no|no|cdisc
LDEIL|2|1|Rhys/1889|311--312||no|no|cdisc
LDEIL|2|1|RomillyAllen/1889|307--308||no|yes|cdisc
LDEIL|2|1|RomillyAllen/1896|302||no|no|list
LDEIO|1|1|Huebner/1876|30|yes|no|yes|minor
LDEIO|1|1|Lhuyd/1858|345|yes|no|yes|cdisc
LDEIO|1|1|Macalister/1945|352|no|no|no|minor
LDEIO|1|1|Nash-Williams/1950|113|no|no|no|cdisc
LDEIO|1|1|Thomas/1994|94, 110-111|no|no|no|cdisc
LDEIO|1|1|Westwood/1879|96|plate ??|no|yes|cdisc
LDEWA|1|1|Macalister/1949|139--140, Plate LI||no|yes|cdisc
LDEWA|1|1|Nash-Williams/1950|96--98||yes|yes|cdisc
LDEWA|1|1|Rhys/1896|113--115||yes|no|cdisc
LDEWA|1|2|Macalister/1949|139--140||no|yes|cdisc
LDEWA|1|2|Nash-Williams/1950|98||yes|yes|cdisc
LDEWA|1|2|Rhys/1896|115--116||no|yes|minor
LDEWB|1|1|Macalister/1945|336||no|yes|cdisc
LDEWB|1|1|Nash-Williams/1950|98||yes|yes|cdisc
LDEWB|1|1|Westwood/1876|139--40||no|yes|cdisc
LDEWB|2|1|Anon/1931|391||no|no|cdisc
LDEWB|2|1|Hubner/1876|42||no|yes|list
LDEWB|2|1|Macalister/1945|335--36||no|yes|cdisc
LDEWB|2|1|Nash-Williams/1950|98||yes|yes|cdisc
LDEWB|2|1|Rhys/1805|43--46||no|no|sdisc
LDEWB|2|1|Westwood/1876|140||no|yes|cdisc
LDEWB|2|1|Westwood/1891|319--20||no|no|cdisc
LDEWB|2|1|WillisBund/1891|233--35||no|no|cdisc
LDEWB|2|1|WillisBund/1892|170--71||no|no|cdisc
LDEWB|3|1|Anon/1931|390||no|no|other
LDEWB|3|1|Macalister/1949|140, Plate L||no|yes|cdisc
LDEWB|3|1|Nash-Williams/1950|98--100||yes|yes|cdisc
LDEWB|3|1|Westwood/1879|141, Plate LXIX||no|yes|cdisc
LDOUG|1|1|Anon/1933|393--394||no|no|cdisc
LDOUG|1|1|Huebner/1876|22||no|no|list
LDOUG|1|1|Macalister/1928|312||no|no|other
LDOUG|1|1|Macalister/1949|154, pl. LII||no|yes|cdisc
LDOUG|1|1|Nash-Williams/1950|134, Plate XLV, Fig. 11.1||yes|yes|cdisc
LDOUG|1|1|RCHAMW/1976|61, frontispiece||yes|no|cdisc
LDOUG|1|1|RomillyAllen/1904|251--252||no|no|cdisc
LDOUG|1|1|Westwood/1879|1--2||no|yes|cdisc
LDOUG|1|2|RCHAMW/1976|61||no|no|cdisc
LDWKE|1|1|Jackson/1953|512, 645|no|no|no|cdisc
LDWKE|1|1|Macalister/1945|351--352|yes|no|yes|sdisc
LDWKE|1|1|Nash-Williams/1950|113, Pl. III, Fig. 17|Pl. III, fig 117|yes|yes|cdisc
LDWKE|1|1|Thomas/1994|98--100|fig 7.6|no|no|sdisc
LDWKE|1|2|Macalister/1922|22|no|no|no|read
LDWKE|1|2|Macalister/1945|351--352|yes|no|yes|sdisc
LDWKE|1|2|McManus/1990|inc|no|no|no|cdisc
