label_en	P1545_ciic	P1684
CIIC 172	172	TOGITTACC MAQI SAGARETTOS
CIIC 173	173	[MAQ]QI MUCC[OI]
CIIC 174	174	n/a
CIIC 175	175	MAQQI-ERCCIAS MAQQI MUCOI DOVINIA
CIIC 176	176	CONUNETT MOQI CONURI.
CIIC 177	177	CCILARI AV[I].....COI VAG....
CIIC 178	178	ERC MAQI MAQI-ERCIAS MU DOVINIA
CIIC 179	179	......ETORIGAS
CIIC 180	180	BRUSCCOS MAQQI CALIACI[AS] M[AQQI MUCOI...
CIIC 181	181	TALAGNI MAQ....
CIIC 182	182	GANICCA
CIIC 183	183	n/a
CIIC 184	184	MAQQI-DECEDDA MAQQI CATUVIQ[QA]
CIIC 185	185	[CO?]BB[A?] AVI VLATIAMI MAQ...
CIIC 186	186	EQODDI SCI FINTEN
CIIC 187	187	ANM MAILE-INBIR MACI BROCANN
CIIC 188	188	MARIANI
CIIC 189	189	SAŊTI LLOTETI AVI SRUSA.
CIIC 190	190	GOSSUCTTIAS
CIIC 191	191	GAMICUNAS
CIIC 192	192	QENILOCGNI MAQI D...
CIIC 193	193	ANM COLMAN AILITHIR
CIIC 194	194	SIDANI MAQI DALO
CIIC 194a	194a	LLONNOCC MAQQ[...
CIIC 195	195	CURCI MAQI MUCOI V[...
CIIC 196	196	ERCAVICCAS MAQI CO[...
CIIC 197	197	DEGOS MAQI MOCOI TOICAKI
CIIC 198	198	MAQI-RITEAS MAQI MAQI-DDUMILEAS MUCOI TOICACI
CIIC 199	199	CUNACENA
CIIC 200	200	MAQI-TTAL MAQI VORGOS MAQI MUCOI TOICAC
CIIC 201	201	MC[ ]GE [ ]M [..] Q[ ] ..[ ]D [ ]E
CIIC 202	202	NIOTTVRECC MAQI [....]GNI
CIIC 203	203	MAQI-DECEDA MAQ̣[...
CIIC 204	204	ANM MAGANN MAQI NUADAT
CIIC 205	205	S[M]....BNAG MA[Q?]QI ERCIA
CIIC 206	206	ANM VIRR[...]ANNI TIGIRN CEDATTOQA MAQI VEDELMET[T]
CIIC 207	207	....]ECC MAQI L[UGUQ]RRIT
CIIC 208	208	UMALL
CIIC 209	209	...]GGO MAQI AGILL[....
CIIC 210	210	DUBE[B?]
CIIC 211	211	RITTUVVECC MAQI VEDDONOS
CIIC 212	212	n/a
CIIC 213	213	URG
CIIC 214	214	ANNVENI TEGG[....
CIIC 215	215	ALATTO CELI BATTIGNI
CIIC 216	216	GOSOCTEAS MOSAC MAKINI
CIIC 217	217	NOCATI MAQI MAQI-REC [....] MAQI MUCOI UDDAMI
CIIC 218	218	L[A]G[O]BB[... MUCO - TUCACAC
CIIC 219	219	ANM CRUNAN MAQ LUQIN
CIIC 220	220	ANM LLATIGNI MAQ M[I]N[E]RC M[UCOI] Q[...]CI
CIIC 221	221	CATVVIRR MAQI LUGUVVEC
CIIC 222	222	.....]NEGGNI
CIIC 223	223	ANM VINNAGITLET...
CIIC 224	224	MOŊUNILOCID MAQI ALOTTO
CIIC 225	225	NOARRA MAQI VORUDRAN
CIIC 226	226	ORIBRASSIA
CIIC 227	227	OTTINN MAQI VECR[EC]
CIIC 228	228	MAQI BROCI
CIIC 229	229	ANM CALUMANN MAQ[...
CIIC 230	230	D[...]A[.C?.] AVI DALAGNI [MAQI C...?] EQQEGGNI MAQI MAQI-CARATTINN
CIIC 231	231	LOGITTI MAQI ERPENN
CIIC 232	232	....]ERRLONNA MAQI R[U]T[E]N[I]
CIIC 233	233	TIDONN[A] MAQ DOMNGINN
CIIC 234	234	MAQI R[.....
CIIC 235	235	ANM MOLEGOMRID MACI VECUMEN
CIIC 236	236	...]OTANI M[A]QI LOSAGNI
CIIC 237	237	n/a
CIIC 238	238	......]QNETN[.....
CIIC 239	239	ANM GATTEGLAN
CIIC 240	240	MOCURRUTI MAQI VLISACESUCMIR
CIIC 241	241	B[AID]AGNI MAQI ADDILONA NAGUNI MUCO BAIDANI NIR***MN[I]DAGNIESSICONIDDALA AMIT BAIDAGNI
CIIC 242	242	BRRUANANN
CIIC 243	243	MAQI-RITTE MAQI COLABOT MAQI MOCO QERAI
CIIC 244	244	COILLABBOTAS MAQI CORBBI MAQI MOCOI QERAI
CIIC 245	245	VŊGOLAM
CIIC 246	246	CORBAGNI MAQI BIVITI
CIIC 246a	246a	...]V MAQI[...
CIIC 246b	246b	[LMCBDV]
CIIC 247	247	COVTET
CIIC 248	248	...QET[IA?]S M[A?]Q TRENIL[U?...]
CIIC 249	249	UN[...]CC
CIIC 250	250	CATTUVVIRR MAQI RITUVVECAS MUCOI ALLATO
CIIC 251	251	VELITAS LUGUTTI
CIIC 252	252	DUMELI MAQI GLASICONAS NIOTTA COBRANOR[IGAS]
CIIC 253	253	GALEOTOS
CIIC 254	254	MAQI RECTA
CIIC 255	255	ANM VURUDDRANN MAQ[I] DOLIGENN CI[...]LA MAQ[Q?]I [..]BAGNI
CIIC 256	256	ANM TEGANN MAAC DEGLANN
CIIC 256a	256a	BASIŊB ---
CIIC 257	257	D[A]Q[U]MA MAQI RAGAVVECC
CIIC 258	258	MAILAGNI MAQI GAMATI
CIIC 259	259	IVAGENI MAQI LAISCEMITA
CIIC 260	260	n/a
CIIC 261	261	NETACUNAS MAQI LOBAC[CONA]
CIIC 262	262	ERCAGNI MAQI ERCIAS
CIIC 263	263	LUGUDECCAS MAQI [....MU]COI NETA-SEGAMONAS DOLATI BIGA-ISGOB[...
CIIC 264	264	....] NACI MAQI [...
CIIC 265	265	AMADU
CIIC 266	266	COLLABOT MUCOI LUGA MAQI LOBACCONA
CIIC 267	267	MEDUSI MACI LU MUCOI LUGA
CIIC 268	268	CATTUVIR
CIIC 269	269	MAQI MUCOI IVODACCA.
CIIC 270	270	QRIT[....] MAQ[I LO]BACONA AVI NEAGRACOLINEA
CIIC 271	271	NETAVROQI MAQI QIC[...
CIIC 272	272	MANU MAGUNO GATI MOCOI MACORBO
CIIC 273	273	CALUNOVIC[A] MAQI MUCOI LIT[ENI].
CIIC 274	274	MAQI-INI[... MAQI QE]TTEAS.
CIIC 275	275	CUNALEGEA MAQI C[....]SALAR CELI AVI QVECI
CIIC 276	276	BIGU MAQI LAG[...
CIIC 277	277	BIR MAQI MUCOI ROTTAIS
CIIC 278	278	....]MAQI NE[TACUN]AS
CIIC 279	279	DENAVEC[A MU]COI MEDALO.
CIIC 280	280	BRO[INION]AS
CIIC 281	281	DEAGOS MAQI MUCO[I......]NAI
CIIC 282	282	AVI DAIMAGNI
CIIC 283	283	GOSOCTAS MUCOI MACORBO
CIIC 284	284	MELAGIA
CIIC 285	285	BIVODON MUCOI ATAR
CIIC 286	286	[CU]NAMAQI LUGUDECA MUC[OI] CUNEA
CIIC 287	287	NISIGNI MAQI ER[......]I
CIIC 288	288	DEBRANI MAQI ELTI AVI OGATOS
CIIC 289	289	...]VAGNI MUCOI CUNIA
